seed_corpus_id,seed_title,relation,openalex_id,doi,title,year,type,cited_by_count,landing_url,pdf_url,discovery_status
DCM-00002,Handbook of Conversation Design for Instructional Applications,referenciado,https://openalex.org/W605522444,,Effective Leadership: A Self Development Manual,1983,article,33,http://cds.cern.ch/record/403115,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,referenciado,https://openalex.org/W2065595470,https://doi.org/10.1108/03684929510089321,The challenge of sociocybernetics,1995,article,90,https://doi.org/10.1108/03684929510089321,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,referenciado,https://openalex.org/W2083449279,https://doi.org/10.2307/40183951,Organizational Learning: A Theory of Action Perspective,1997,article,11175,https://doi.org/10.2307/40183951,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,referenciado,https://openalex.org/W2089728281,,Educational Psychology: A Cognitive View,1968,book,4574,https://ci.nii.ac.jp/ncid/BA02996628,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W2117968346,https://doi.org/10.1007/s10212-010-0035-4,“FearNot!”: a computer-based anti-bullying-programme designed to foster peer intervention,2010,article,121,https://doi.org/10.1007/s10212-010-0035-4,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W2112093832,https://doi.org/10.1080/01587910903236320,Connecting online learners with diverse local practices: the design of effective common reference points for conversation,2009,article,30,https://doi.org/10.1080/01587910903236320,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W4232651355,https://doi.org/10.31932/jpbio.v4i2.536,Peningkatan Keterampilan Berpikir Kritis Mahasiswa Biologi Melalui Multimedia STEM Education,2019,article,26,https://doi.org/10.31932/jpbio.v4i2.536,http://jurnal.stkippersada.ac.id/jurnal/index.php/JBIO/article/download/536/509,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W2905409087,https://doi.org/10.1109/iceta.2018.8572054,Improving the User Experience of Electronic University Enrollment,2018,conference-paper,22,https://doi.org/10.1109/iceta.2018.8572054,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W2994173442,,Technoethical Inquiry: From Technological Systems to Society,2009,article,29,https://doaj.org/article/60ac2e766fbe4da9b586712b4ecee888,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W2088968519,https://doi.org/10.1007/s11251-010-9131-8,Identifying patterns of collaborative knowledge exploration in online asynchronous discussions,2010,article,25,https://doi.org/10.1007/s11251-010-9131-8,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W203151345,https://doi.org/10.1007/978-3-642-32018-7_2,A Framework of Designing Learning Activities for Mobile Learning,2012,conference-paper,8,https://doi.org/10.1007/978-3-642-32018-7_2,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W197999406,https://doi.org/10.1007/978-1-4614-3185-5_30,"Instructional Message Design: Past, Present, and Future Relevance",2013,book-chapter,17,https://doi.org/10.1007/978-1-4614-3185-5_30,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W2747921425,https://doi.org/10.1016/j.ejor.2017.08.009,Supporting self-organised community research through informal learning,2017,article,13,https://doi.org/10.1016/j.ejor.2017.08.009,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W1022445783,https://doi.org/10.1007/978-3-319-00927-8_9,Reconceptualizing Instructional Message Design: Toward the Development of a New Guiding Framework,2013,book-chapter,9,https://doi.org/10.1007/978-3-319-00927-8_9,,pendente-de-deduplicacao-e-portao-ontologico
DCM-00002,Handbook of Conversation Design for Instructional Applications,citante,https://openalex.org/W4392912495,https://doi.org/10.21606/drslxd.2024.045,‘…This is how things are done’: Dismantling the Master-and-Apprentice design pedagogy fallacy with Social Support and Growth Mindset,2023,conference-paper,1,https://doi.org/10.21606/drslxd.2024.045,,pendente-de-deduplicacao-e-portao-ontologico
