corpus_id,legacy_corpus_id,match_basis,manifest,row,title,doi,url,path,sha256,received,retrieved_at,error
DCM-00003,,doi,data/document-resolution/arxiv-download-manifest.csv,2,Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,https://arxiv.org/pdf/2203.15767v1,,19d199a69c199fa2d744995fcaaadaf50f00f93d11c9d1bfd29b552748a55ada,true,,
DCM-00028,,doi,data/document-resolution/arxiv-download-manifest.csv,3,Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,10.1145/3816046.3816223,https://arxiv.org/pdf/2502.11554v3,,67cc8909aa367331b35cfb6d31ad652f10370820fea8b0e8ab4080b299e6af75,true,,
DCM-00155,,doi,data/document-resolution/arxiv-download-manifest.csv,4,Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,https://arxiv.org/pdf/2401.14746v1,,17cb1adb9161f6cc7f7ec023a26564f471854ca501dfd7c4111f84dd2216fd8a,true,,
DCM-00170,,doi,data/document-resolution/arxiv-download-manifest.csv,5,Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,https://arxiv.org/pdf/2306.05228v1,,dc77a4118b205bc102aaef9c283da590e736be639f9cdb331777740681fcdb53,true,,
DCM-00033,,doi,data/document-resolution/download-manifest.csv,2,Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,library\staging\10.26686-wgtn.17148509.v1.pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,false,2026-08-31T01:17:05.111084+00:00,response-is-not-pdf
DCM-00051,,doi,data/document-resolution/download-manifest.csv,3,Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,https://arxiv.org/pdf/2301.06474,library\staging\10.1080-10447318.2022.2118244.pdf,6bbaf61bc89c72d84a560f86e0958f37c12b674d65ad9caff92cf995f1db83de,true,2026-08-31T01:17:05.763346+00:00,
DCM-00066,,doi,data/document-resolution/download-manifest.csv,4,Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,https://arxiv.org/pdf/2601.12084,library\staging\10.1145-3757279.3785640.pdf,070ab5284593ca708413628a759e4d0559906807577bdf5b1d4e806046ff593c,true,2026-08-31T01:17:10.251628+00:00,
DCM-00112,,doi,data/document-resolution/download-manifest.csv,5,"Form to Flow: Exploring Challenges and Roles of Conversational UX Designers in Real-world, Multi-channel Service Environments",10.1145/3610189,https://dl.acm.org/doi/pdf/10.1145/3610189,library\staging\10.1145-3610189.pdf,,false,,<HTTPError 403: 'Forbidden'>
DCM-00120,,doi,data/document-resolution/download-manifest.csv,6,Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,10.1145/3335082.3335094,https://pure.ulster.ac.uk/ws/files/77598628/ECCE_2019_paper_39.pdf,library\staging\10.1145-3335082.3335094.pdf,53ad295129fff852fd20707e7bd059bb45498b431e9eae9472c98ac0b9832331,true,2026-08-31T01:17:17.453727+00:00,
DCM-00159,,doi,data/document-resolution/download-manifest.csv,7,Creating ‘a Simple Conversation’: Designing a Conversational User Interface to Improve the Experience of Accessing Support for Study,10.1145/3568166,https://discovery.ucl.ac.uk/10157542/1/3568166.pdf,library\staging\10.1145-3568166.pdf,ba06dbad003f5da080c8e9d0cd685ee2593c0c29ecfa7448f1b446845f45ac8e,true,2026-08-31T01:17:23.646777+00:00,
DCM-00160,,doi,data/document-resolution/download-manifest.csv,8,Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,https://cronfa.swan.ac.uk/Record/cronfa56148,library\staging\10.1145-3411763.3441336.pdf,,false,,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
DCM-00166,,doi,data/document-resolution/download-manifest.csv,9,Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,https://ieeexplore.ieee.org/ielx7/7756/8794651/08796473.pdf,library\staging\10.1109-mprv.2019.2921176.pdf,204a52e84cf3ced57ad1124a513c6248ba99042af45a2487a5f1c6eaecf276be,true,2026-08-31T01:17:46.920647+00:00,
DCM-00170,,doi,data/document-resolution/download-manifest.csv,10,Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,https://dl.acm.org/doi/pdf/10.1145/3571884.3603760,library\staging\10.1145-3571884.3603760.pdf,,false,,<HTTPError 403: 'Forbidden'>
DCM-00172,,doi,data/document-resolution/download-manifest.csv,11,Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,https://vbn.aau.dk/ws/files/702151593/3571884.3603752.pdf,library\staging\10.1145-3571884.3603752.pdf,9b6e4de33c2f5aa052ece55dcae2579a52a5e6dba8b90ffa2753ed29426390f0,true,2026-08-31T01:17:49.249071+00:00,
DCM-00173,,doi,data/document-resolution/download-manifest.csv,12,Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,https://link.springer.com/content/pdf/10.1007/978-0-306-47002-8_20.pdf,library\staging\10.1007-978-0-306-47002-8_20.pdf,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea,false,2026-08-31T01:17:49.656681+00:00,response-is-not-pdf
DCM-00174,,doi,data/document-resolution/download-manifest.csv,13,Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,library\staging\10.1145-3490632.3490673.pdf,,false,,<HTTPError 403: 'Forbidden'>
DCM-00179,,doi,data/document-resolution/download-manifest.csv,14,CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,https://pure.tue.nl/ws/files/386756462/3397482.3450706_1_.pdf,library\staging\10.1145-3397482.3450706.pdf,e792cef3065e8937ff3b2b7a4b0cb83d3ea3606fbfc0fa4ef733662dc8cc5f91,true,2026-08-31T01:17:51.856899+00:00,
