corpus_id,source_api,source_id,run_id,query,title,pdf_url
DCM-00001,OpenAlex,https://openalex.org/W2042683403,20260831T003810Z,"""conversation design""",Mentoring Conversations Designed to Promote Student Teacher Learning,
DCM-00002,OpenAlex,https://openalex.org/W2484805907,20260831T003810Z,"""conversation design""",Handbook of Conversation Design for Instructional Applications,
DCM-00003,OpenAlex,https://openalex.org/W4221158799,20260831T003810Z,"""conversation design""",Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,
DCM-00004,OpenAlex,https://openalex.org/W2943249143,20260831T003810Z,"""conversation design""",Conversation Design,
DCM-00005,OpenAlex,https://openalex.org/W2485752924,20260831T003810Z,"""conversation design""",Introducing Conversation Design,
DCM-00006,OpenAlex,https://openalex.org/W4230974914,20260831T003810Z,"""conversation design""",Mentoring Conversations Designed to Promote Student Teacher Learning,
DCM-00007,OpenAlex,https://openalex.org/W3091658513,20260831T003810Z,"""conversation design""",Challenges in Chatbot Development,
DCM-00008,OpenAlex,https://openalex.org/W2120958028,20260831T003810Z,"""conversation design""",End-of-life care conversations with heart failure patients: a systematic literature review and narrative synthesis,https://bjgp.org/content/bjgp/61/582/e49.full.pdf
DCM-00009,OpenAlex,https://openalex.org/W148677561,20260831T003810Z,"""conversation design""",CDT: A Tool for Agent Conversation Design,
DCM-00010,OpenAlex,https://openalex.org/W3030491441,20260831T003810Z,"""conversation design""",Supporting an Iterative Conversation Design Process,
DCM-00011,OpenAlex,https://openalex.org/W3129181761,20260831T003810Z,"""conversation design""",Co-developing a Mental Health and Wellbeing Chatbot With and for Young People,https://www.frontiersin.org/articles/10.3389/fpsyt.2020.606041/pdf
DCM-00012,OpenAlex,https://openalex.org/W2101779674,20260831T003810Z,"""conversation design""",PERSPECTIVE—The Myth of Firm Performance,
DCM-00013,OpenAlex,https://openalex.org/W2803502790,20260831T003810Z,"""conversation design""",Physicians' Views on Advance Care Planning and End‐of‐Life Care Conversations,
DCM-00014,OpenAlex,https://openalex.org/W4396833227,20260831T003810Z,"""conversation design""",MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,
DCM-00015,OpenAlex,https://openalex.org/W4395664053,20260831T003810Z,"""conversation design""",Artificial Intelligence in the Classroom: Conversation Design and Prompt Engineering for English Majors,
DCM-00016,OpenAlex,https://openalex.org/W3005172708,20260831T003810Z,"""conversation design""",The art of conversation: design cybernetics and its ethics,https://philpapers.org/archive/WESTAO-16.pdf
DCM-00017,OpenAlex,https://openalex.org/W2504160860,20260831T003810Z,"""conversation design""",Applying Grounded Conversation Design to Instruction,
DCM-00018,OpenAlex,https://openalex.org/W4235224662,20260831T003810Z,"""conversation design""",Conversation Design,
DCM-00019,OpenAlex,https://openalex.org/W2482792125,20260831T003810Z,"""conversation design""",Online Tutoring as Conversation Design,
DCM-00020,OpenAlex,https://openalex.org/W2295701596,20260831T003810Z,"""conversation design""","Conversation, design and ethics: the cybernetics of Ranulph Glanville",
DCM-00021,OpenAlex,https://openalex.org/W4239860512,20260831T003810Z,"""conversation design""",Introducing Conversation Design,
DCM-00022,OpenAlex,https://openalex.org/W3097300917,20260831T003810Z,"""conversation design""",ProtoChat: Supporting the Conversation Design Process with Crowd Feedback,
DCM-00023,OpenAlex,https://openalex.org/W3043605417,20260831T003810Z,"""conversation design""",Leveraging the Crowd to Support the Conversation Design Process,
DCM-00024,OpenAlex,https://openalex.org/W3120349745,20260831T003810Z,"""conversation design""",ProtoChat,
DCM-00025,OpenAlex,https://openalex.org/W1986188827,20260831T003810Z,"""conversation design""",A simplification of a conversation design scheme using Petri nets,
DCM-00026,OpenAlex,https://openalex.org/W4327740109,20260831T003810Z,"""conversation design""",The challenging meet between human and artificial knowledge. A systems-based view of its influences on firms-customers interaction,https://www.emerald.com/insight/content/doi/10.1108/JKM-12-2022-0940/full/pdf?title=the-challenging-meet-between-human-and-artificial-knowledge-a-systems-based-view-of-its-influences-on-firms-customers-interaction
DCM-00027,OpenAlex,https://openalex.org/W1978685446,20260831T003810Z,"""conversation design""",Exploring teachers' use of TPACK in design talk: The collaborative design of technology-rich early literacy activities,https://www.sciencedirect.com/science/article/pii/S0360131514002577
DCM-00028,OpenAlex,https://openalex.org/W4407719098,20260831T003810Z,"""conversation design""",Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,
DCM-00029,OpenAlex,https://openalex.org/W2776070985,20260831T003810Z,"""conversation design""",Social Distance Increases Perceived Physical Distance,
DCM-00030,OpenAlex,https://openalex.org/W2182554598,20260831T003810Z,"""conversation design""",Persistent Conversation: Design and Analysis of CMC Systems,
