run_id,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,citation_relation
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W605522444,,Effective Leadership: A Self Development Manual,1983,,article,,http://cds.cern.ch/record/403115,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2065595470,https://doi.org/10.1108/03684929510089321,The challenge of sociocybernetics,1995,,article,,https://doi.org/10.1108/03684929510089321,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2083449279,https://doi.org/10.2307/40183951,Organizational Learning: A Theory of Action Perspective,1997,,article,,https://doi.org/10.2307/40183951,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2089728281,,Educational Psychology: A Cognitive View,1968,,book,,https://ci.nii.ac.jp/ncid/BA02996628,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2117968346,https://doi.org/10.1007/s10212-010-0035-4,“FearNot!”: a computer-based anti-bullying-programme designed to foster peer intervention,2010,,article,,https://doi.org/10.1007/s10212-010-0035-4,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2112093832,https://doi.org/10.1080/01587910903236320,Connecting online learners with diverse local practices: the design of effective common reference points for conversation,2009,,article,,https://doi.org/10.1080/01587910903236320,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4232651355,https://doi.org/10.31932/jpbio.v4i2.536,Peningkatan Keterampilan Berpikir Kritis Mahasiswa Biologi Melalui Multimedia STEM Education,2019,,article,,https://doi.org/10.31932/jpbio.v4i2.536,http://jurnal.stkippersada.ac.id/jurnal/index.php/JBIO/article/download/536/509,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2905409087,https://doi.org/10.1109/iceta.2018.8572054,Improving the User Experience of Electronic University Enrollment,2018,,conference-paper,,https://doi.org/10.1109/iceta.2018.8572054,,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2994173442,,Technoethical Inquiry: From Technological Systems to Society,2009,,article,,https://doaj.org/article/60ac2e766fbe4da9b586712b4ecee888,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2088968519,https://doi.org/10.1007/s11251-010-9131-8,Identifying patterns of collaborative knowledge exploration in online asynchronous discussions,2010,,article,,https://doi.org/10.1007/s11251-010-9131-8,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W203151345,https://doi.org/10.1007/978-3-642-32018-7_2,A Framework of Designing Learning Activities for Mobile Learning,2012,,conference-paper,,https://doi.org/10.1007/978-3-642-32018-7_2,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W197999406,https://doi.org/10.1007/978-1-4614-3185-5_30,"Instructional Message Design: Past, Present, and Future Relevance",2013,,book-chapter,,https://doi.org/10.1007/978-1-4614-3185-5_30,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2747921425,https://doi.org/10.1016/j.ejor.2017.08.009,Supporting self-organised community research through informal learning,2017,,article,,https://doi.org/10.1016/j.ejor.2017.08.009,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W1022445783,https://doi.org/10.1007/978-3-319-00927-8_9,Reconceptualizing Instructional Message Design: Toward the Development of a New Guiding Framework,2013,,book-chapter,,https://doi.org/10.1007/978-3-319-00927-8_9,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4392912495,https://doi.org/10.21606/drslxd.2024.045,‘…This is how things are done’: Dismantling the Master-and-Apprentice design pedagogy fallacy with Social Support and Growth Mindset,2023,,conference-paper,,https://doi.org/10.21606/drslxd.2024.045,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4409906978,https://doi.org/10.14391/ajhs.28.162,Iraqi EFL University Students' Attitudes Towards the Implementation of a Multimodal Approach on Verbal and Non-verbal Communication;,2025,,article,,https://doi.org/10.14391/ajhs.28.162,https://www.jstage.jst.go.jp/article/ajhs/28/0/28_162/_pdf,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W1519042761,https://doi.org/10.4135/9781446201039.n27,Implications for Research Training and Examination for Design PhDs,2012,,book-chapter,,https://doi.org/10.4135/9781446201039.n27,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2765999423,https://doi.org/10.1080/17445760.2017.1390098,A self-aware paradigm for autonomous architectural systems within the Internet of Things,2017,,article,,https://doi.org/10.1080/17445760.2017.1390098,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W48929477,https://doi.org/10.1007/978-1-84882-553-6_3,Creating a Model of Use,2009,,book-chapter,,https://doi.org/10.1007/978-1-84882-553-6_3,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W1888158006,https://doi.org/10.1108/k-06-2013-0114,The pragmatics and aesthetics of knowing: implications for online education,2013,,article,,https://doi.org/10.1108/k-06-2013-0114,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2555647717,https://doi.org/10.14257/ijseia.2016.10.2.24,Pre-service Teachers' Attitudes and Views about Smart Learning: Implications for Creative Teaching and Learning,2016,,article,,http://doi.org/10.14257/ijseia.2016.10.2.24,,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W3024714017,https://doi.org/10.13189/ujer.2020.080516,Reflexive Conversation: Approach to the Professional Learning of Pre-service Mathematics Teachers,2020,,article,,https://doi.org/10.13189/ujer.2020.080516,http://www.hrpub.org/download/20200430/UJER16-19515179.pdf,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W94175178,https://doi.org/10.1007/978-0-387-09667-4_6,When a Peer Group Isn’t Needed: Effective Online Learning in an Individual Mentoring Model,2008,,book-chapter,,https://doi.org/10.1007/978-0-387-09667-4_6,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W211594245,https://doi.org/10.1007/978-3-662-43454-3_31,Creative Re-instrumentation of Collective Learning Activity,2014,,conference-paper,,https://doi.org/10.1007/978-3-662-43454-3_31,,,,2,5,termos=3; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
