run_id,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,citation_relation
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W178706107,https://doi.org/10.1016/b978-0-08-050264-9.50014-2,Applying the Technology of Conversation to the Technology for Conversation,1990,,book-chapter,,https://doi.org/10.1016/b978-0-08-050264-9.50014-2,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W612386859,https://doi.org/10.5860/choice.48-6242,Living with complexity,2011,,book-review,,https://doi.org/10.5860/choice.48-6242,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W1900064238,https://doi.org/10.1017/cbo9780511486746.003,Two preferences in the organization of reference to persons in conversation and their interaction,2007,,book-chapter,,https://doi.org/10.1017/cbo9780511486746.003,,,,2,5,termos=6; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W1980298376,https://doi.org/10.1353/lan.1977.0041,The preference for self-correction in the organization of repair in conversation,1977,,article,,https://doi.org/10.1353/lan.1977.0041,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2153190547,https://doi.org/10.2307/412243,A simplest systematics for the organization of turn-taking for conversation,1974,,article,,https://doi.org/10.2307/412243,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2494161868,https://doi.org/10.1016/b978-0-08-050264-9.50008-7,The Very Idea,1990,,book-chapter,,https://doi.org/10.1016/b978-0-08-050264-9.50008-7,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2498260772,,Sequence Organization in Interaction: A Primer in Conversation Analysis,2007,,article,,http://bvbr.bib-bvb.de:8991/F?func=service&amp;doc_library=BVB01&amp;doc_number=015563139&amp;line_number=0001&amp;func_code=DB_RECORDS&amp;service_type=MEDIA,,,,2,5,termos=6; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2971921133,https://doi.org/10.1145/3335082.3335094,Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,2019,,conference-paper,,https://doi.org/10.1145/3335082.3335094,https://pure.ulster.ac.uk/ws/files/77598628/ECCE_2019_paper_39.pdf,,,2,5,termos=10; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2942476074,https://doi.org/10.1145/3290605.3300772,Understanding Affective Experiences with Conversational Agents,2019,,conference-paper,,https://doi.org/10.1145/3290605.3300772,,,,2,5,termos=6; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2933377349,https://doi.org/10.1145/3290605.3300415,Sketching NLP,2019,,conference-paper,,https://doi.org/10.1145/3290605.3300415,,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W3010786729,https://doi.org/10.1145/3313831.3376403,Improving Worker Engagement Through Conversational Microtask Crowdsourcing,2020,,conference-paper,,https://doi.org/10.1145/3313831.3376403,,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4297405114,https://doi.org/10.2196/38525,Design and Evaluation Challenges of Conversational Agents in Health Care and Well-being: Selective Review Study,2022,,article,,https://doi.org/10.2196/38525,https://www.jmir.org/2022/11/e38525/PDF,,,2,5,termos=7; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4224991000,https://doi.org/10.1145/3491102.3517653,Great Chain of Agents: The Role of Metaphorical Representation of Agents in Conversational Crowdsourcing,2022,,conference-paper,,https://doi.org/10.1145/3491102.3517653,https://dl.acm.org/doi/pdf/10.1145/3491102.3517653,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4406975581,https://doi.org/10.1145/3708359.3712133,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,2025,,conference-paper,,https://doi.org/10.1145/3708359.3712133,,,,2,5,termos=5; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4402419094,https://doi.org/10.59400/cai.v2i2.1467,Enhancing user experience and trust in advanced LLM-based conversational agents,2024,,article,,https://doi.org/10.59400/cai.v2i2.1467,,,,2,5,termos=7; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W3185973438,https://doi.org/10.1145/3469595.3469625,Recipient Design for Conversational Agents: Tailoring Agent’s Utterance to User’s Knowledge,2021,,conference-paper,,https://doi.org/10.1145/3469595.3469625,,,,2,5,termos=6; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2900683264,https://doi.org/10.14236/ewic/hci2018.129,Best Practices for Designing Chatbots in Mental Healthcare – A Case Study on iHelpr,2018,,conference-paper,,https://doi.org/10.14236/ewic/hci2018.129,https://www.scienceopen.com/document_file/ae1b4701-1445-480b-ae95-9d3c393b5028/ScienceOpen/BHCI-2018_Cameron.pdf,,,2,5,termos=8; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2798933813,https://doi.org/10.1145/3170427.3188445,Valletto,2018,,conference-paper,,https://doi.org/10.1145/3170427.3188445,,,,2,5,termos=4; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W2941541859,https://doi.org/10.1145/3290605.3300320,The Effect of Audiences on the User Experience with Conversational Interfaces in Physical Spaces,2019,,conference-paper,,https://doi.org/10.1145/3290605.3300320,,,,2,5,termos=8; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
