title,doi,screening_decision,resolver,resolved,is_oa,oa_status,pdf_url,landing_url,license,version,host_type,repository,source_pdf_url,resolved_at,error
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3491102.3517525,,,,,,2026-08-31T01:15:42.118147+00:00,
Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,10.1145/3816046.3816223,provisional-include,openalex,true,true,gold,,https://doi.org/10.1145/3816046.3816223,cc-by,publishedVersion,,,,2026-08-31T01:15:42.843533+00:00,
Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,provisional-include,openalex,true,true,gold,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,https://doi.org/10.26686/wgtn.17148509.v1,cc-by-nc-sa,publishedVersion,,,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,2026-08-31T01:15:43.499967+00:00,
Conversation Design: The Evolving Paradigm in Technical and Professional Communication,10.1145/3787586.3787589,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3787586.3787589,,,,,,2026-08-31T01:15:44.174954+00:00,
Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,provisional-include,openalex,true,true,green,https://arxiv.org/pdf/2301.06474,http://arxiv.org/abs/2301.06474,cc-by-nc-nd,submittedVersion,repository,arXiv (Cornell University),https://arxiv.org/pdf/2301.06474,2026-08-31T01:15:44.819434+00:00,
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,provisional-include,openalex,true,false,closed,,https://doi.org/10.1007/978-3-030-96293-7_44,,,,,,2026-08-31T01:15:45.472865+00:00,
Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,10.1109/icaicta53211.2021.9640258,provisional-include,openalex,true,false,closed,,https://doi.org/10.1109/icaicta53211.2021.9640258,,,,,,2026-08-31T01:15:46.114578+00:00,
Conversational design: the use of chatbot as an electoral information dissemination tool,,provisional-include,source-metadata,false,,,,https://opus4.kobv.de/opus4-rhein-waal/frontdoor/index/index/start/0/rows/10/sortfield/score/sortorder/desc/searchtype/authorsearch/referee/Ulrich+Greveler/refereemodifier/contains_all/docId/429,,,,,,2026-08-31T01:15:46.777999+00:00,
Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,provisional-include,openalex,true,true,green,https://arxiv.org/pdf/2601.12084,http://arxiv.org/abs/2601.12084,,submittedVersion,repository,arXiv (Cornell University),https://arxiv.org/pdf/2601.12084,2026-08-31T01:15:46.778024+00:00,
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,provisional-include,openalex,true,true,gold,,https://doi.org/10.3389/frobt.2024.1393456,cc-by,publishedVersion,journal,Frontiers in Robotics and AI,,2026-08-31T01:15:47.412697+00:00,
Communicating Service Offers in a Conversational User Interface,10.1145/3441000.3441046,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3441000.3441046,,,,,,2026-08-31T01:15:48.045346+00:00,
Conversational UX Design: A Practitioner's Guide to the Natural Conversation Framework,10.1145/3304087,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3304087,,,,,,2026-08-31T01:15:48.598146+00:00,
Conversational UX Design,10.1145/3027063.3027077,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3027063.3027077,,,,,,2026-08-31T01:15:49.139802+00:00,
Conversational UX design process,10.1145/3304087.3304096,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3304087.3304096,,,,,,2026-08-31T01:15:49.793483+00:00,
Design Systems for Conversational UX,10.1145/3405755.3406150,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3405755.3406150,,,,,,2026-08-31T01:15:50.355695+00:00,
Voice-based Conversational UX Studies and Design,10.1145/3170427.3170619,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3170427.3170619,,,,,,2026-08-31T01:15:50.994605+00:00,
The IBM natural conversation framework: a new paradigm for conversational UX design,10.1080/07370024.2022.2081571,provisional-include,openalex,true,false,closed,,https://doi.org/10.1080/07370024.2022.2081571,,,,,,2026-08-31T01:15:52.043153+00:00,
"Form to Flow: Exploring Challenges and Roles of Conversational UX Designers in Real-world, Multi-channel Service Environments",10.1145/3610189,provisional-include,openalex,true,true,bronze,https://dl.acm.org/doi/pdf/10.1145/3610189,https://doi.org/10.1145/3610189,,publishedVersion,journal,Proceedings of the ACM on Human-Computer Interaction,https://dl.acm.org/doi/pdf/10.1145/3610189,2026-08-31T01:15:52.578371+00:00,
Business and pleasure? Relational interaction in conversational UX,,provisional-include,source-metadata,true,,,http://hdl.handle.net/11250/2500859,http://hdl.handle.net/11250/2500859,,,,,http://hdl.handle.net/11250/2500859,2026-08-31T01:15:53.260502+00:00,
Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,10.1145/3335082.3335094,provisional-include,openalex,true,true,green,https://pure.ulster.ac.uk/ws/files/77598628/ECCE_2019_paper_39.pdf,https://pure.ulster.ac.uk/en/publications/2d17849f-a349-45da-af9f-019f850cf28d,other-oa,submittedVersion,repository,Ulster University Research Portal (Ulster University),https://pure.ulster.ac.uk/ws/files/77598628/ECCE_2019_paper_39.pdf,2026-08-31T01:15:53.260545+00:00,
Dal dato all’azione. Conversational UX e Agentic AI nei sistemi industriali data-driven: il caso Zero,,full-text-review,source-metadata,false,,,,http://etd.adm.unipi.it/theses/available/etd-01092026-174017/,,,,,,2026-08-31T01:15:53.951602+00:00,
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,provisional-include,openalex,true,true,gold,https://jmir.org/api/download?alt_name=humanfactors_v10i1e43135_app1.pdf&filename=7b3ff9378bf98201e44876499865db1e.pdf,https://doi.org/10.2196/43135,cc-by,publishedVersion,journal,JMIR Human Factors,https://jmir.org/api/download?alt_name=humanfactors_v10i1e43135_app1.pdf&filename=7b3ff9378bf98201e44876499865db1e.pdf,2026-08-31T01:15:53.951663+00:00,
Accessible conversational user interfaces,10.1145/3371300.3383343,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3371300.3383343,,,,,,2026-08-31T01:15:54.695426+00:00,
Usability guidelines and evaluation criteria for conversational user interfaces,10.1145/3404983.3405505,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3404983.3405505,,,,,,2026-08-31T01:15:55.258233+00:00,
CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,10.1145/3334480.3375152,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3334480.3375152,,,,,,2026-08-31T01:15:55.940160+00:00,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,provisional-include,openalex,true,true,gold,,https://doi.org/10.1145/3613904.3642542,cc-by,publishedVersion,,,,2026-08-31T01:15:56.631813+00:00,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3406865.3418587,,,,,,2026-08-31T01:15:57.342650+00:00,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3430263.3452431,,,,,,2026-08-31T01:15:58.048947+00:00,
Creating ‘a Simple Conversation’: Designing a Conversational User Interface to Improve the Experience of Accessing Support for Study,10.1145/3568166,provisional-include,openalex,true,true,green,https://discovery.ucl.ac.uk/10157542/1/3568166.pdf,https://discovery.ucl.ac.uk/id/eprint/10157542/,,submittedVersion,repository,UCL Discovery (University College London),https://discovery.ucl.ac.uk/10157542/1/3568166.pdf,2026-08-31T01:15:58.748866+00:00,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,provisional-include,openalex,true,true,green,https://cronfa.swan.ac.uk/Record/cronfa56148,https://cronfa.swan.ac.uk/Record/cronfa56148,,submittedVersion,repository,Cronfa (Swansea University),https://cronfa.swan.ac.uk/Record/cronfa56148,2026-08-31T01:15:59.454568+00:00,
Introduction to this special issue: guiding the conversation: new theory and design perspectives for conversational user interfaces,10.1080/07370024.2022.2161905,provisional-include,openalex,true,false,closed,,https://doi.org/10.1080/07370024.2022.2161905,,,,,,2026-08-31T01:16:00.179884+00:00,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,provisional-include,openalex,true,true,green,,http://publica.fraunhofer.de/documents/N-593271.html,other-oa,submittedVersion,repository,Publikationsdatenbank der Fraunhofer-Gesellschaft (Fraunhofer-Gesellschaft),,2026-08-31T01:16:02.042819+00:00,
Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,provisional-include,openalex,true,true,bronze,https://ieeexplore.ieee.org/ielx7/7756/8794651/08796473.pdf,https://doi.org/10.1109/mprv.2019.2921176,,publishedVersion,journal,IEEE Pervasive Computing,https://ieeexplore.ieee.org/ielx7/7756/8794651/08796473.pdf,2026-08-31T01:16:02.795239+00:00,
Conversational User Interfaces in Smart Homecare Interactions: A Conversation Analytic Case Study,10.1145/3571884.3597140,provisional-include,openalex,true,true,gold,,https://doi.org/10.1145/3571884.3597140,cc-by,publishedVersion,,,,2026-08-31T01:16:03.491923+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,provisional-include,openalex,true,true,gold,https://dl.acm.org/doi/pdf/10.1145/3571884.3603760,https://doi.org/10.1145/3571884.3603760,,publishedVersion,,,https://dl.acm.org/doi/pdf/10.1145/3571884.3603760,2026-08-31T01:16:04.180952+00:00,
Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,provisional-include,openalex,true,true,green,https://vbn.aau.dk/ws/files/702151593/3571884.3603752.pdf,https://vbn.aau.dk/da/publications/d66ffbc6-0c98-482c-a432-7b9ea8f8ad7f,other-oa,submittedVersion,repository,VBN Forskningsportal (Aalborg Universitet),https://vbn.aau.dk/ws/files/702151593/3571884.3603752.pdf,2026-08-31T01:16:04.854119+00:00,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,provisional-include,openalex,true,true,gold,https://link.springer.com/content/pdf/10.1007/978-0-306-47002-8_20.pdf,https://doi.org/10.1007/978-0-306-47002-8_20,,publishedVersion,,,https://link.springer.com/content/pdf/10.1007/978-0-306-47002-8_20.pdf,2026-08-31T01:16:05.560180+00:00,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,full-text-review,openalex,true,true,gold,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,https://doi.org/10.1145/3490632.3490673,other-oa,publishedVersion,,,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,2026-08-31T01:16:06.268827+00:00,
CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,provisional-include,openalex,true,true,green,https://pure.tue.nl/ws/files/386756462/3397482.3450706_1_.pdf,https://research.tue.nl/en/publications/01e3d445-960c-4c3c-8fc3-9511ae823728,other-oa,submittedVersion,repository,TU/e Research Portal,https://pure.tue.nl/ws/files/386756462/3397482.3450706_1_.pdf,2026-08-31T01:16:06.937088+00:00,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3473856.3473872,,,,,,2026-08-31T01:16:07.628961+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,full-text-review,openalex,true,true,gold,https://dl.acm.org/doi/pdf/10.1145/3543829.3544524,https://doi.org/10.1145/3543829.3544524,,publishedVersion,,,https://dl.acm.org/doi/pdf/10.1145/3543829.3544524,2026-08-31T01:16:08.216421+00:00,
Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,10.1145/3473856.3473871,provisional-include,openalex,true,true,green,https://publikationen.bibliothek.kit.edu/1000138385/154245988,https://publikationen.bibliothek.kit.edu/1000138385,,submittedVersion,repository,Repository KITopen (Karlsruhe Institute of Technology),https://publikationen.bibliothek.kit.edu/1000138385/154245988,2026-08-31T01:16:08.930052+00:00,
Key Principles Pertinent to User Experience Design for Conversational User Interfaces: A Conceptual Learning Model,10.1007/978-3-031-40113-8_17,provisional-include,openalex,true,false,closed,,https://doi.org/10.1007/978-3-031-40113-8_17,,,,,,2026-08-31T01:16:09.613086+00:00,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,provisional-include,openalex,true,true,gold,,https://doi.org/10.1145/3640794.3665547,cc-by,publishedVersion,,,,2026-08-31T01:16:10.164125+00:00,
Domain Specific Design Patterns: Designing For Conversational User Interfaces,10.48550/arxiv.1802.09055,provisional-include,openalex,true,true,green,https://arxiv.org/pdf/1802.09055,http://arxiv.org/abs/1802.09055,,submittedVersion,repository,arXiv (Cornell University),https://arxiv.org/pdf/1802.09055,2026-08-31T01:16:10.883412+00:00,
Voice User Interface Design,,full-text-review,source-metadata,false,,,,http://www.loc.gov/catdir/toc/ecip0410/2003022900.html,,,,,,2026-08-31T01:16:11.587904+00:00,
Voice User Interface Design,10.1007/978-1-4842-4125-7,provisional-include,openalex,true,true,bronze,https://link.springer.com/content/pdf/bfm:978-1-4842-4125-7/1?pdf=chapter%20toc,https://doi.org/10.1007/978-1-4842-4125-7,,publishedVersion,ebook platform,Apress eBooks,https://link.springer.com/content/pdf/bfm:978-1-4842-4125-7/1?pdf=chapter%20toc,2026-08-31T01:16:11.587927+00:00,
Voice User Interface Design Patterns.,,full-text-review,source-metadata,false,,,,http://tubiblio.ulb.tu-darmstadt.de/view/person/Schnelle=3ADirk=3A=3A.html>,,,,,,2026-08-31T01:16:12.158008+00:00,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,provisional-include,openalex,true,true,green,,https://figshare.com/articles/journal_contribution/Systematic_Review_Trust-Building_Factors_and_Implications_for_Conversational_Agent_Design/12905991,cc-by,submittedVersion,repository,Figshare,,2026-08-31T01:16:12.158031+00:00,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,provisional-include,openalex,true,true,hybrid,https://www.emerald.com/insight/content/doi/10.1108/JOSM-10-2021-0402/full/pdf?title=the-trisec-framework-for-optimizing-conversational-agent-design-across-search-experience-and-credence-service-contexts,https://doi.org/10.1108/josm-10-2021-0402,cc-by,publishedVersion,journal,Journal of service management,https://www.emerald.com/insight/content/doi/10.1108/JOSM-10-2021-0402/full/pdf?title=the-trisec-framework-for-optimizing-conversational-agent-design-across-search-experience-and-credence-service-contexts,2026-08-31T01:16:12.842348+00:00,
Conversational Agent Design for Algebra Tutoring,10.1109/smc53654.2022.9945524,provisional-include,openalex,true,false,closed,,https://doi.org/10.1109/smc53654.2022.9945524,,,,,,2026-08-31T01:16:13.515276+00:00,
Mental health management as a social endeavour: Challenges and opportunities for conversational agent design,10.1016/j.ijhcs.2025.103618,provisional-include,openalex,true,true,hybrid,,https://doi.org/10.1016/j.ijhcs.2025.103618,cc-by,publishedVersion,journal,International Journal of Human-Computer Studies,,2026-08-31T01:16:14.077121+00:00,
AI Conversational Agent Design for Supporting Learning and Well-Being of University Students,10.35542/osf.io/w4rtf,provisional-include,openalex,true,true,gold,https://osf.io/w4rtf/download,https://doi.org/10.35542/osf.io/w4rtf,,acceptedVersion,,,https://osf.io/w4rtf/download,2026-08-31T01:16:14.777618+00:00,
From Human Pragmatic Language Skills to Conversational Agent Design: A Systematic Review of Transfer Strategies,10.1145/3772318.3792787,provisional-include,openalex,true,true,gold,,https://doi.org/10.1145/3772318.3792787,cc-by,publishedVersion,,,,2026-08-31T01:16:15.349037+00:00,
Designing Conversational Agents to Support Student Teacher Learning in Virtual Reality Simulation: A Case Study,10.1145/3613905.3637145,provisional-include,openalex,true,false,closed,,https://doi.org/10.1145/3613905.3637145,,,,,,2026-08-31T01:16:16.059335+00:00,
