title,doi,screening_decision,document_status,is_oa,pdf_url,license,local_path,pages,sha256,retrieval_error
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,provisional-include,pdf-integral-validado-local,false,,arXiv-distribution,library\staging\arxiv\2203.15767v1.pdf,15,19d199a69c199fa2d744995fcaaadaf50f00f93d11c9d1bfd29b552748a55ada,
Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,10.1145/3816046.3816223,provisional-include,pdf-integral-validado-local,true,,arXiv-distribution,library\staging\arxiv\2502.11554v3.pdf,21,67cc8909aa367331b35cfb6d31ad652f10370820fea8b0e8ab4080b299e6af75,
Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,provisional-include,falha-recuperacao-pdf,true,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,cc-by-nc-sa,,,,response-is-not-pdf
Conversation Design: The Evolving Paradigm in Technical and Professional Communication,10.1145/3787586.3787589,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,provisional-include,pdf-integral-validado-local,true,https://arxiv.org/pdf/2301.06474,cc-by-nc-nd,library\staging\10.1080-10447318.2022.2118244.pdf,26,6bbaf61bc89c72d84a560f86e0958f37c12b674d65ad9caff92cf995f1db83de,
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,10.1109/icaicta53211.2021.9640258,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Conversational design: the use of chatbot as an electoral information dissemination tool,,provisional-include,lacuna-documental,,,,,,,
Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,provisional-include,pdf-integral-validado-local,true,https://arxiv.org/pdf/2601.12084,,library\staging\10.1145-3757279.3785640.pdf,10,070ab5284593ca708413628a759e4d0559906807577bdf5b1d4e806046ff593c,
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,provisional-include,pdf-integral-validado-local,true,,cc-by,library\staging\europe-pmc\PMC11165153.pdf,14,4f25189a4944808b24b35d022095f49c714c8b8cf6f844a96943f662fad01792,
Communicating Service Offers in a Conversational User Interface,10.1145/3441000.3441046,provisional-include,sem-versao-aberta-localizada,false,,,,,,
