title,doi,url,path,downloaded,valid_pdf,bytes,sha256,content_type,license,version,retrieved_at,error
Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,library\staging\10.26686-wgtn.17148509.v1.pdf,true,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/html; charset=UTF-8,cc-by-nc-sa,publishedVersion,2026-08-31T01:17:05.111084+00:00,response-is-not-pdf
Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,https://arxiv.org/pdf/2301.06474,library\staging\10.1080-10447318.2022.2118244.pdf,true,true,845353,6bbaf61bc89c72d84a560f86e0958f37c12b674d65ad9caff92cf995f1db83de,application/pdf,cc-by-nc-nd,submittedVersion,2026-08-31T01:17:05.763346+00:00,
Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,https://arxiv.org/pdf/2601.12084,library\staging\10.1145-3757279.3785640.pdf,true,true,7996748,070ab5284593ca708413628a759e4d0559906807577bdf5b1d4e806046ff593c,application/pdf,,submittedVersion,2026-08-31T01:17:10.251628+00:00,
"Form to Flow: Exploring Challenges and Roles of Conversational UX Designers in Real-world, Multi-channel Service Environments",10.1145/3610189,https://dl.acm.org/doi/pdf/10.1145/3610189,library\staging\10.1145-3610189.pdf,false,false,0,,,,publishedVersion,,<HTTPError 403: 'Forbidden'>
Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,10.1145/3335082.3335094,https://pure.ulster.ac.uk/ws/files/77598628/ECCE_2019_paper_39.pdf,library\staging\10.1145-3335082.3335094.pdf,true,true,3686771,53ad295129fff852fd20707e7bd059bb45498b431e9eae9472c98ac0b9832331,application/pdf,other-oa,submittedVersion,2026-08-31T01:17:17.453727+00:00,
Creating ‘a Simple Conversation’: Designing a Conversational User Interface to Improve the Experience of Accessing Support for Study,10.1145/3568166,https://discovery.ucl.ac.uk/10157542/1/3568166.pdf,library\staging\10.1145-3568166.pdf,true,true,704179,ba06dbad003f5da080c8e9d0cd685ee2593c0c29ecfa7448f1b446845f45ac8e,application/pdf,,submittedVersion,2026-08-31T01:17:23.646777+00:00,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,https://cronfa.swan.ac.uk/Record/cronfa56148,library\staging\10.1145-3411763.3441336.pdf,false,false,0,,,,submittedVersion,,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,https://ieeexplore.ieee.org/ielx7/7756/8794651/08796473.pdf,library\staging\10.1109-mprv.2019.2921176.pdf,true,true,760192,204a52e84cf3ced57ad1124a513c6248ba99042af45a2487a5f1c6eaecf276be,application/pdf,,publishedVersion,2026-08-31T01:17:46.920647+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,https://dl.acm.org/doi/pdf/10.1145/3571884.3603760,library\staging\10.1145-3571884.3603760.pdf,false,false,0,,,,publishedVersion,,<HTTPError 403: 'Forbidden'>
Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,https://vbn.aau.dk/ws/files/702151593/3571884.3603752.pdf,library\staging\10.1145-3571884.3603752.pdf,true,true,608757,9b6e4de33c2f5aa052ece55dcae2579a52a5e6dba8b90ffa2753ed29426390f0,application/pdf,other-oa,submittedVersion,2026-08-31T01:17:49.249071+00:00,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,https://link.springer.com/content/pdf/10.1007/978-0-306-47002-8_20.pdf,library\staging\10.1007-978-0-306-47002-8_20.pdf,true,false,3038,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea,text/html; charset=utf-8,,publishedVersion,2026-08-31T01:17:49.656681+00:00,response-is-not-pdf
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,library\staging\10.1145-3490632.3490673.pdf,false,false,0,,,other-oa,publishedVersion,,<HTTPError 403: 'Forbidden'>
CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,https://pure.tue.nl/ws/files/386756462/3397482.3450706_1_.pdf,library\staging\10.1145-3397482.3450706.pdf,true,true,504046,e792cef3065e8937ff3b2b7a4b0cb83d3ea3606fbfc0fa4ef733662dc8cc5f91,application/pdf,other-oa,submittedVersion,2026-08-31T01:17:51.856899+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,https://dl.acm.org/doi/pdf/10.1145/3543829.3544524,library\staging\10.1145-3543829.3544524.pdf,false,false,0,,,,publishedVersion,,<HTTPError 403: 'Forbidden'>
Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,10.1145/3473856.3473871,https://publikationen.bibliothek.kit.edu/1000138385/154245988,library\staging\10.1145-3473856.3473871.pdf,true,true,1482836,d735dbbcc7ac4693bc990d4ae86f49db4f535bf67befc3c747fc700a33637518,application/pdf,,submittedVersion,2026-08-31T01:17:55.216382+00:00,
Domain Specific Design Patterns: Designing For Conversational User Interfaces,10.48550/arxiv.1802.09055,https://arxiv.org/pdf/1802.09055,library\staging\10.48550-arxiv.1802.09055.pdf,true,true,230286,16449d31c4de3a5b979e30a3d5bbba79e0d3deaac2b2cc1749807ae2894a480d,application/pdf,,submittedVersion,2026-08-31T01:17:55.728495+00:00,
Voice User Interface Design,10.1007/978-1-4842-4125-7,https://link.springer.com/content/pdf/bfm:978-1-4842-4125-7/1?pdf=chapter%20toc,library\staging\10.1007-978-1-4842-4125-7.pdf,true,false,3038,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea,text/html; charset=utf-8,,publishedVersion,2026-08-31T01:17:56.140757+00:00,response-is-not-pdf
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,https://www.emerald.com/insight/content/doi/10.1108/JOSM-10-2021-0402/full/pdf?title=the-trisec-framework-for-optimizing-conversational-agent-design-across-search-experience-and-credence-service-contexts,library\staging\10.1108-josm-10-2021-0402.pdf,false,false,0,,,cc-by,publishedVersion,,<HTTPError 403: 'Forbidden'>
AI Conversational Agent Design for Supporting Learning and Well-Being of University Students,10.35542/osf.io/w4rtf,https://osf.io/w4rtf/download,library\staging\10.35542-osf.io-w4rtf.pdf,true,true,837239,15f2d9e0b733633d128831eac031c6c4b6603d85111163e3612941b4d0d5a5f4,application/octet-stream,,acceptedVersion,2026-08-31T01:18:00.520643+00:00,
Designing Conversational Agents to Facilitate Patient-Physician Communication and Clinical Consultation,10.1145/3613905.3638176,https://dl.acm.org/doi/pdf/10.1145/3613905.3638176,library\staging\10.1145-3613905.3638176.pdf,false,false,0,,,,publishedVersion,,<HTTPError 403: 'Forbidden'>
