title,doi,pmid,pmcid,is_oa,has_pdf,pmc_pdf_url,error
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,,,,,,
Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,10.1145/3816046.3816223,,,,,,
Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,,,,,,
Conversation Design: The Evolving Paradigm in Technical and Professional Communication,10.1145/3787586.3787589,,,,,,
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,,,,,,
Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,10.1109/icaicta53211.2021.9640258,,,,,,
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,38863781,PMC11165153,Y,Y,https://pmc-oa-opendata.s3.amazonaws.com/PMC11165153.1/PMC11165153.1.pdf,
Communicating Service Offers in a Conversational User Interface,10.1145/3441000.3441046,,,,,,
Conversational UX Design: A Practitioner's Guide to the Natural Conversation Framework,10.1145/3304087,,,,,,
Conversational UX Design,10.1145/3027063.3027077,,,,,,
Conversational UX design process,10.1145/3304087.3304096,,,,,,
Design Systems for Conversational UX,10.1145/3405755.3406150,,,,,,
Voice-based Conversational UX Studies and Design,10.1145/3170427.3170619,,,,,,
The IBM natural conversation framework: a new paradigm for conversational UX design,10.1080/07370024.2022.2081571,,,,,,
"Form to Flow: Exploring Challenges and Roles of Conversational UX Designers in Real-world, Multi-channel Service Environments",10.1145/3610189,,,,,,
Accessible conversational user interfaces,10.1145/3371300.3383343,,,,,,
Usability guidelines and evaluation criteria for conversational user interfaces,10.1145/3404983.3405505,,,,,,
CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,10.1145/3334480.3375152,,,,,,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,,,,,,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,,,,,,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,,,,,,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,,,,,,
Introduction to this special issue: guiding the conversation: new theory and design perspectives for conversational user interfaces,10.1080/07370024.2022.2161905,,,,,,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,,,,,,
Conversational User Interfaces in Smart Homecare Interactions: A Conversation Analytic Case Study,10.1145/3571884.3597140,,,,,,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,,,,,,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,,,,,,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,,,,,,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,,,,,,
Key Principles Pertinent to User Experience Design for Conversational User Interfaces: A Conceptual Learning Model,10.1007/978-3-031-40113-8_17,,,,,,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,,,,,,
Voice User Interface Design,10.1007/978-1-4842-4125-7,,,,,,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,,,,,,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,,,,,,
Conversational Agent Design for Algebra Tutoring,10.1109/smc53654.2022.9945524,,,,,,
Mental health management as a social endeavour: Challenges and opportunities for conversational agent design,10.1016/j.ijhcs.2025.103618,,,,,,
From Human Pragmatic Language Skills to Conversational Agent Design: A Systematic Review of Transfer Strategies,10.1145/3772318.3792787,,,,,,
Designing Conversational Agents to Support Student Teacher Learning in Virtual Reality Simulation: A Case Study,10.1145/3613905.3637145,,,,,,
"Co-designing conversational agents with older people: A scoping review of methods, challenges, and a way forward",10.1016/j.chbr.2025.100606,,,,,,
Designing Conversational Agents for Emotional Self-Awareness,10.1109/aciiw59127.2023.10388072,,,,,,
Designing Conversational Agents to Facilitate Patient-Physician Communication and Clinical Consultation,10.1145/3613905.3638176,,,,,,
Designing Conversational Agents to Support Social Prescribing for Young People,10.14236/ewic/bcshci2025.28,,,,,,
Designing Conversational Agents for Older Adults: Effects of Conversational Form and Nonverbal Factors on Mobile Banking Experiences,10.1080/10447318.2025.2491024,,,,,,
Designing Conversational Agents to Support Learning from Scientific Graphs,10.24251/hicss.2026.608,,,,,,
Designing Conversational Agents in Copilot Studio for Enterprise Automation and Compliance,10.1109/icscds65426.2025.11165793,,,,,,
From Modeling Multimodal and Multiparty Interactions to Designing Conversational Agents,10.1145/2666242.2666252,,,,,,
Designing conversational Agents for adaptive instructional support in business simulation gaming,10.1016/j.caeai.2026.100576,,,,,,
PhysB: a framework for designing conversational agents to support physical activity in adolescents,10.1186/s41043-026-01254-5,42251424,,N,N,,
Shaping user input: a strategy for natural language dialogue design,10.1016/0953-5438(89)90012-x,,,,,,
Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions,10.3758/s13428-022-01864-x,35701720,PMC9197095,Y,Y,https://pmc-oa-opendata.s3.amazonaws.com/PMC9197095.1/PMC9197095.1.pdf,
Chatbot Design and Implementation: Towards an Operational Model for Chatbots,10.3390/info15040226,,,,,,
Heuristics Based User Experience Evaluation for Identifying Challenges in IoT Enabled Conversational Agent Design,10.1145/3765766.3765824,,,,,,
Gender Bender Bot - The Effect of (Not) Following Gender Stereotypes in Conversational Agent Design,10.55432/978-1-6692-0005-5_12,,,,,,
