title,doi,pdf_path,text_path,pages,pages_with_text,characters,text_sha256,extraction_status
Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,library\staging\10.1080-10447318.2022.2118244.pdf,extracted-text\local-only\10.1080-10447318.2022.2118244.txt,26,26,104574,f3491460fe21c25ccc1960aeb39620f1f7c0238bd079f6930c1791705b1dd506,complete
Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,library\staging\10.1145-3757279.3785640.pdf,extracted-text\local-only\10.1145-3757279.3785640.txt,10,10,57680,dfeae3362d2b9b58d230528d30a9d2a922e440d0e36bac41aa6567411cfb1797,complete
Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,10.1145/3335082.3335094,library\staging\10.1145-3335082.3335094.pdf,extracted-text\local-only\10.1145-3335082.3335094.txt,9,9,38713,5eea52b92bed667cab41dd13b02ebbde6d5da0b6f3a697167eca25fbda5d486a,complete
Creating ‘a Simple Conversation’: Designing a Conversational User Interface to Improve the Experience of Accessing Support for Study,10.1145/3568166,library\staging\10.1145-3568166.pdf,extracted-text\local-only\10.1145-3568166.txt,30,30,98604,3d0761696a56ae514df18c7636bf2ba0e12544019d794e305c3818557a6f3d67,complete
Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,library\staging\10.1109-mprv.2019.2921176.pdf,extracted-text\local-only\10.1109-mprv.2019.2921176.txt,2,2,5393,bd8aef0915af3af6a21b14f2f33a289ff29d9bddab67c80af9bf65204a32aa45,complete
Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,library\staging\10.1145-3571884.3603752.pdf,extracted-text\local-only\10.1145-3571884.3603752.txt,7,7,40978,eb48ee804cf7a7b60a6558137cbc316961267676d6756021c47b924140a7bb71,complete
CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,library\staging\10.1145-3397482.3450706.pdf,extracted-text\local-only\10.1145-3397482.3450706.txt,4,4,14995,a4603d2831dd80d73104cafc495d4ced504e3db15ab4e1ab07add1b6889246c0,complete
Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,10.1145/3473856.3473871,library\staging\10.1145-3473856.3473871.pdf,extracted-text\local-only\10.1145-3473856.3473871.txt,13,13,54801,22aad52db3c9562f770e65a199da2d32ebd53cd3b17f18df232add5e148fc3f9,complete
Domain Specific Design Patterns: Designing For Conversational User Interfaces,10.48550/arxiv.1802.09055,library\staging\10.48550-arxiv.1802.09055.pdf,extracted-text\local-only\10.48550-arxiv.1802.09055.txt,7,7,37554,9aad44b2fbbfe13073ee62d2bc4c435cbcaa07795452f7a419a79b0137e15065,complete
AI Conversational Agent Design for Supporting Learning and Well-Being of University Students,10.35542/osf.io/w4rtf,library\staging\10.35542-osf.io-w4rtf.pdf,extracted-text\local-only\10.35542-osf.io-w4rtf.txt,14,14,82823,449ccc5829d2f75a7b753ecbf4ee1897d342c6367cf85eeb88e55e476e1810de,complete
Designing Conversational Agents for Student Wellbeing,10.14569/ijacsa.2024.0151006,library\staging\10.14569-ijacsa.2024.0151006.pdf,extracted-text\local-only\10.14569-ijacsa.2024.0151006.txt,10,10,53520,aa581f3bf2d0140ab0737744bf6a36cd53800a376206576741f6fece0ddc3d8b,complete
The feedback loop: A systematic review of how evaluation practices inform conversational agent design,10.21203/rs.3.rs-7235054/v1,library\staging\10.21203-rs.3.rs-7235054-v1.pdf,extracted-text\local-only\10.21203-rs.3.rs-7235054-v1.txt,36,36,101690,43ee51c682b85e35cfffc3d4e7fad656c423f75497576d725c2651c6421aab1b,complete
Enhancing the user experience of learning management systems in higher education: Chatbot design principles,10.4102/the.v11i0.624,library\staging\10.4102-the.v11i0.624.pdf,extracted-text\local-only\10.4102-the.v11i0.624.txt,10,10,65727,b6c34ed12041d604fa25272741c6e8f5c1e91f7826a98424fb10eb758fc461ee,complete
An Experience Report on User-Centered Chatbot Design through Design Thinking,10.5753/wbots.2025.15205,library\staging\10.5753-wbots.2025.15205.pdf,extracted-text\local-only\10.5753-wbots.2025.15205.txt,10,10,28332,2a06cdfb749c81d1d872c0483956700a4e0464e1007540393c9211a698a4bdb8,complete
