candidate_id,corpus_id,title,doi,url,license,version,source_name,path,downloaded,pdf_signature,bytes,sha256,content_type,retrieved_at,error
DCM-00014-AX0001,DCM-00014,MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,https://doi.org/10.1145/3613904.3642937,https://arxiv.org/pdf/2310.05231v2,,,AX,library/staging/master-arxiv/DCM-00014-AX0001-MindfulDiary-Harnessing-Large-Language-Model-to-Support-Psychiatr.pdf,true,true,3510551,9ced03e6dbdfbce09004afab56d0c47bbe50c5ba55b5d1479c5a6922fe0ba094,application/pdf,2026-09-06T00:26:52.325035+00:00,
DCM-00063-AX0002,DCM-00063,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,https://doi.org/10.1145/3772318.3791391,https://arxiv.org/pdf/2602.01796v1,,,AX,library/staging/master-arxiv/DCM-00063-AX0002-CritiqueCrew-Orchestrating-Multi-Perspective-Conversational-Desig.pdf,true,true,8639970,54bd9307734776275bd24b15a39cada1efe23933b2067401acda42b47e741967,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00129-AX0003,DCM-00129,The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,https://doi.org/10.1145/3581641.3584037,https://arxiv.org/pdf/2302.07080v1,,,AX,library/staging/master-arxiv/DCM-00129-AX0003-The-Programmer-s-Assistant-Conversational-Interaction-with-a-Larg.pdf,true,true,1173184,d31fd8b87313ac9ca943a480eae244a2bdbeea8458af153a0bb5fc7c9cc50e25,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00134-AX0004,DCM-00134,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,https://doi.org/10.48550/arxiv.1901.06525,https://arxiv.org/pdf/1901.06525v1,,,AX,library/staging/master-arxiv/DCM-00134-AX0004-What-Makes-a-Good-Conversation-Challenges-in-Designing-Truly-Conv.pdf,true,true,484639,3fbeef5b7ee6529574425d5c5543741ac8394741404f57df7d8df464569b53fb,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00145-AX0005,DCM-00145,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,https://doi.org/10.1145/3491102.3501972,https://arxiv.org/pdf/2203.08420v1,,,AX,library/staging/master-arxiv/DCM-00145-AX0005-How-do-you-Converse-with-an-Analytical-Chatbot-Revisiting-Gricean.pdf,true,true,7946415,863132e0712c4458f5ee16b6506aac4d317c4b71572699b3656e6e3f42f28ec5,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00175-AX0006,DCM-00175,Towards Augmented Reality Driven Human-City Interaction: Current Research on Mobile Headsets and Future Challenges,https://doi.org/10.1145/3467963,https://arxiv.org/pdf/2007.09207v2,,,AX,library/staging/master-arxiv/DCM-00175-AX0006-Towards-Augmented-Reality-Driven-Human-City-Interaction-Current-R.pdf,true,true,8667672,eb8007fd19b89936c40e138405e136b81a34a04c62125604f2430a224f47bdec,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00207-AX0007,DCM-00207,Examining Humanness as a Metaphor to Design Voice User Interfaces,https://doi.org/10.1145/3640794.3665535,https://arxiv.org/pdf/2405.07458v1,,,AX,library/staging/master-arxiv/DCM-00207-AX0007-Examining-Humanness-as-a-Metaphor-to-Design-Voice-User-Interfaces.pdf,true,true,958415,d66791ba7fc2bb794b66594062fdf55f6f360b638bdcdaff64c4d2c284ae8d32,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00308-AX0008,DCM-00308,"“Alexa, Can I Program You?”: Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",https://doi.org/10.1145/3459990.3460730,https://arxiv.org/pdf/2102.01367v1,,,AX,library/staging/master-arxiv/DCM-00308-AX0008-Alexa-Can-I-Program-You-Student-Perceptions-of-Conversational-Art.pdf,true,true,2395413,be30abeabcf83178df1517e37f0365b1bfcab2d5e520a60ac3870f3d333d8001,application/pdf,2026-09-06T00:26:52.326544+00:00,
DCM-00353-AX0010,DCM-00353,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,https://doi.org/10.1145/3564269,https://arxiv.org/pdf/2112.01146v1,,,AX,library/staging/master-arxiv/DCM-00353-AX0010-Conversational-Agents-in-Therapeutic-Interventions-for-Neurodevel.pdf,true,true,1636872,3df626092771f0a47ace1cda31aa347474bad48b43f6a694b12a97782304bf94,application/pdf,2026-09-06T00:26:53.342481+00:00,
DCM-00359-AX0009,DCM-00359,"Understanding User Preferences for Interaction Styles in Conversational Recommender System: The Predictive Role of System Qualities, User Experience, and Traits",https://doi.org/10.1145/3764687.3764722,https://arxiv.org/pdf/2508.02328v1,,,AX,library/staging/master-arxiv/DCM-00359-AX0009-Understanding-User-Preferences-for-Interaction-Styles-in-Conversa.pdf,true,true,1181169,7bf9ef181a0ec015b9dde9a20334a1d81bf32fde14cecc1f6af9d30b089cc853,application/pdf,2026-09-06T00:26:53.066566+00:00,
DCM-00385-AX0011,DCM-00385,Script-Strategy Aligned Generation: Aligning LLMs with Expert-Crafted Dialogue Scripts and Therapeutic Strategies for Psychotherapy,https://doi.org/10.1145/3757655,https://arxiv.org/pdf/2411.06723v2,,,AX,library/staging/master-arxiv/DCM-00385-AX0011-Script-Strategy-Aligned-Generation-Aligning-LLMs-with-Expert-Craf.pdf,true,true,9219337,93237ede1340a8463b48f1458ff5a2503b31ab0463ee5611c7b7ef09327e0a1b,application/pdf,2026-09-06T00:26:53.493493+00:00,
DCM-00386-AX0012,DCM-00386,"Alquist 5.0: Dialogue Trees Meet Generative Models, a Novel Approach for Enhancing SocialBot Conversations",https://doi.org/10.3390/fi16090344,https://arxiv.org/pdf/2310.16119v2,,,AX,library/staging/master-arxiv/DCM-00386-AX0012-Alquist-5-0-Dialogue-Trees-Meet-Generative-Models-a-Novel-Approac.pdf,true,true,6990503,d3e385cace762e736e7d40d01ab4d255df2938c4b0811aa725afef60ce8fc66a,application/pdf,2026-09-06T00:26:54.514816+00:00,
DCM-00566-AX0013,DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,https://arxiv.org/pdf/math-ph/0504062v2,,,AX,library/staging/master-arxiv/DCM-00566-AX0013-WITHDRAWN.pdf,false,false,0,,,2026-09-06T00:26:55.133140+00:00,<HTTPError 404: 'Not Found'>
DCM-00566-AX0014,DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,https://arxiv.org/pdf/quant-ph/0503178v3,,,AX,library/staging/master-arxiv/DCM-00566-AX0014-WITHDRAWN.pdf,false,false,0,,,2026-09-06T00:26:55.292009+00:00,<HTTPError 404: 'Not Found'>
DCM-00566-AX0015,DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,https://arxiv.org/pdf/cond-mat/0007355v3,,,AX,library/staging/master-arxiv/DCM-00566-AX0015-WITHDRAWN.pdf,false,false,0,,,2026-09-06T00:26:55.449093+00:00,<HTTPError 404: 'Not Found'>
