corpus_id,title,doi,arxiv_title,similarity,arxiv_id,pdf_url,error
DCM-00014,MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,https://doi.org/10.1145/3613904.3642937,MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,1.000,http://arxiv.org/abs/2310.05231v2,https://arxiv.org/pdf/2310.05231v2,
DCM-00063,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,https://doi.org/10.1145/3772318.3791391,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,1.000,http://arxiv.org/abs/2602.01796v1,https://arxiv.org/pdf/2602.01796v1,
DCM-00129,The Programmer’s Assistant: Conversational Interaction with a Large Language Model for Software Development,https://doi.org/10.1145/3581641.3584037,The Programmer's Assistant: Conversational Interaction with a Large Language Model for Software Development,0.995,http://arxiv.org/abs/2302.07080v1,https://arxiv.org/pdf/2302.07080v1,
DCM-00134,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,https://doi.org/10.48550/arxiv.1901.06525,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,1.000,http://arxiv.org/abs/1901.06525v1,https://arxiv.org/pdf/1901.06525v1,
DCM-00145,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,https://doi.org/10.1145/3491102.3501972,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,1.000,http://arxiv.org/abs/2203.08420v1,https://arxiv.org/pdf/2203.08420v1,
DCM-00175,Towards Augmented Reality Driven Human-City Interaction: Current Research on Mobile Headsets and Future Challenges,https://doi.org/10.1145/3467963,Towards Augmented Reality-driven Human-City Interaction: Current Research on Mobile Headsets and Future Challenges,1.000,http://arxiv.org/abs/2007.09207v2,https://arxiv.org/pdf/2007.09207v2,
DCM-00207,Examining Humanness as a Metaphor to Design Voice User Interfaces,https://doi.org/10.1145/3640794.3665535,Examining Humanness as a Metaphor to Design Voice User Interfaces,1.000,http://arxiv.org/abs/2405.07458v1,https://arxiv.org/pdf/2405.07458v1,
DCM-00308,"“Alexa, Can I Program You?”: Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",https://doi.org/10.1145/3459990.3460730,"""Alexa, Can I Program You?"": Student Perceptions of Conversational Artificial Intelligence Before and After Programming Alexa",1.000,http://arxiv.org/abs/2102.01367v1,https://arxiv.org/pdf/2102.01367v1,
DCM-00359,"Understanding User Preferences for Interaction Styles in Conversational Recommender System: The Predictive Role of System Qualities, User Experience, and Traits",https://doi.org/10.1145/3764687.3764722,"Understanding User Preferences for Interaction Styles in Conversational Recommender Systems: The Predictive Role of System Qualities, User Experience, and Traits",0.997,http://arxiv.org/abs/2508.02328v1,https://arxiv.org/pdf/2508.02328v1,
DCM-00353,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,https://doi.org/10.1145/3564269,Conversational Agents in Therapeutic Interventions for Neurodevelopmental Disorders: A Survey,1.000,http://arxiv.org/abs/2112.01146v1,https://arxiv.org/pdf/2112.01146v1,
DCM-00385,Script-Strategy Aligned Generation: Aligning LLMs with Expert-Crafted Dialogue Scripts and Therapeutic Strategies for Psychotherapy,https://doi.org/10.1145/3757655,Script-Strategy Aligned Generation: Aligning LLMs with Expert-Crafted Dialogue Scripts and Therapeutic Strategies for Psychotherapy,1.000,http://arxiv.org/abs/2411.06723v2,https://arxiv.org/pdf/2411.06723v2,
DCM-00386,"Alquist 5.0: Dialogue Trees Meet Generative Models, a Novel Approach for Enhancing SocialBot Conversations",https://doi.org/10.3390/fi16090344,Alquist 5.0: Dialogue Trees Meet Generative Models. A Novel Approach for Enhancing SocialBot Conversations,1.000,http://arxiv.org/abs/2310.16119v2,https://arxiv.org/pdf/2310.16119v2,
DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,Withdrawn,1.000,http://arxiv.org/abs/math-ph/0504062v2,https://arxiv.org/pdf/math-ph/0504062v2,
DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,Withdrawn,1.000,http://arxiv.org/abs/quant-ph/0503178v3,https://arxiv.org/pdf/quant-ph/0503178v3,
DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,withdrawn,1.000,http://arxiv.org/abs/cond-mat/0007355v3,https://arxiv.org/pdf/cond-mat/0007355v3,
DCM-00566,WITHDRAWN,https://doi.org/10.31234/osf.io/esh2g_v1,withdrawn,1.000,http://arxiv.org/abs/cond-mat/9904049v2,https://arxiv.org/pdf/cond-mat/9904049v2,
DCM-00644,"Perla: A Conversational Agent for Depression Screening in Digital Ecosystems. Design, Implementation and Validation",10.31234/osf.io/nfas4_v1,"Perla: A Conversational Agent for Depression Screening in Digital Ecosystems. Design, Implementation and Validation",1.000,http://arxiv.org/abs/2008.12875v2,https://arxiv.org/pdf/2008.12875v2,
DCM-00676,Conversational Collective Intelligence (CCI) using Hyperchat AI in a Real-world Forecasting Task,10.1109/chiuxid68326.2025.11323746,Conversational Collective Intelligence (CCI) using Hyperchat AI in a Real-world Forecasting Task,1.000,http://arxiv.org/abs/2511.03732v2,https://arxiv.org/pdf/2511.03732v2,
DCM-00683,UX Research on Conversational Human-AI Interaction: A Literature Review of the ACM Digital Library,10.1145/3491102.3501855,UX Research on Conversational Human-AI Interaction: A Literature Review of the ACM Digital Library,1.000,http://arxiv.org/abs/2202.09895v1,https://arxiv.org/pdf/2202.09895v1,
