corpus_id,title,doi,locations,queried_at,error
DCM-00001,Mentoring Conversations Designed to Promote Student Teacher Learning,https://doi.org/10.1080/13598660120061309,0,2026-09-01T00:56:18.427270+00:00,
DCM-00004,Conversation Design,https://doi.org/10.1145/3290607.3298821,0,2026-09-01T00:56:18.409202+00:00,
DCM-00005,Introducing Conversation Design,https://doi.org/10.4018/978-1-59904-597-9.ch001,0,2026-09-01T00:56:18.363209+00:00,
DCM-00006,Mentoring Conversations Designed to Promote Student Teacher Learning,https://doi.org/10.1080/13598660123812,0,2026-09-01T00:56:18.427270+00:00,
DCM-00007,Challenges in Chatbot Development,https://doi.org/10.1145/3379597.3387472,0,2026-09-01T00:56:18.401093+00:00,
DCM-00010,Supporting an Iterative Conversation Design Process,https://doi.org/10.1145/3334480.3382951,0,2026-09-01T00:56:18.329757+00:00,
DCM-00012,PERSPECTIVE—The Myth of Firm Performance,https://doi.org/10.1287/orsc.1120.0762,0,2026-09-01T00:56:18.401093+00:00,
DCM-00013,Physicians' Views on Advance Care Planning and End‐of‐Life Care Conversations,https://doi.org/10.1111/jgs.15374,0,2026-09-01T00:56:18.373527+00:00,
DCM-00015,Artificial Intelligence in the Classroom: Conversation Design and Prompt Engineering for English Majors,https://doi.org/10.18848/2327-0144/cgp/v31i02/129-142,0,2026-09-01T00:56:19.531325+00:00,
DCM-00017,Applying Grounded Conversation Design to Instruction,https://doi.org/10.4018/978-1-59904-597-9.ch013,0,2026-09-01T00:56:19.603729+00:00,
DCM-00018,Conversation Design,https://doi.org/10.1007/978-3-658-28849-5_5,0,2026-09-01T00:56:19.531325+00:00,
DCM-00019,Online Tutoring as Conversation Design,https://doi.org/10.4018/978-1-59904-597-9.ch009,0,2026-09-01T00:56:19.597217+00:00,
DCM-00021,Introducing Conversation Design,https://doi.org/10.4018/9781599045979.ch001,0,2026-09-01T00:56:19.597217+00:00,
DCM-00022,ProtoChat: Supporting the Conversation Design Process with Crowd Feedback,https://doi.org/10.1145/3406865.3418568,0,2026-09-01T00:56:19.596362+00:00,
DCM-00023,Leveraging the Crowd to Support the Conversation Design Process,https://doi.org/10.1145/3405755.3406155,0,2026-09-01T00:56:19.610665+00:00,
DCM-00024,ProtoChat,https://doi.org/10.1145/3432924,0,2026-09-01T00:56:19.597217+00:00,
DCM-00025,A simplification of a conversation design scheme using Petri nets,https://doi.org/10.1109/32.24717,0,2026-09-01T00:56:20.710867+00:00,
DCM-00029,Social Distance Increases Perceived Physical Distance,https://doi.org/10.1177/1948550617707017,0,2026-09-01T00:56:20.718977+00:00,
DCM-00031,Using Virtual Patient Simulations to Prepare Primary Health Care Professionals to Conduct Substance Use and Mental Health Screening and Brief Intervention,https://doi.org/10.1177/1078390317719321,0,2026-09-01T00:56:20.768048+00:00,
DCM-00032,Young latinas recall contraceptive use before and after pregnancy: a focus group study,https://doi.org/10.1016/j.jpag.2004.05.003,0,2026-09-01T00:56:20.894228+00:00,
DCM-00035,Gender differences in repetitive language in fragile X syndrome,https://doi.org/10.1111/j.1365-2788.2006.00888.x,0,2026-09-01T00:56:20.813192+00:00,
DCM-00036,Do conversations with virtual avatars increase feelings of social anxiety?,https://doi.org/10.1016/j.janxdis.2013.03.003,0,2026-09-01T00:56:20.813192+00:00,
DCM-00037,Conversation Design in the Electronic Discussion Age,https://doi.org/10.4018/978-1-59904-597-9.ch007,0,2026-09-01T00:56:20.758856+00:00,
DCM-00039,Rehabilitation Targeted at Everyday Communication: Can We Change the Talk of People With Aphasia and Their Significant Others Within Conversation?,https://doi.org/10.1016/j.apmr.2011.07.206,0,2026-09-01T00:56:20.926017+00:00,
DCM-00040,Cybernetics and Design: Conversations for Action,https://doi.org/10.1007/978-3-030-18557-2_4,0,2026-09-01T00:56:21.848551+00:00,
DCM-00041,Building bridges to observational perspectives: A grounded theory of therapy processes in psychosis,https://doi.org/10.1348/147608308x288780,0,2026-09-01T00:56:21.964891+00:00,
DCM-00044,Connecting online learners with diverse local practices: the design of effective common reference points for conversation,https://doi.org/10.1080/01587910903236320,0,2026-09-01T00:56:21.990428+00:00,
DCM-00047,Expanding the coaching conversation: group and team coaching,https://doi.org/10.1108/ict-10-2014-0070,0,2026-09-01T00:56:21.956801+00:00,
DCM-00049,Conversation Design: The Evolving Paradigm in Technical and Professional Communication,https://doi.org/10.1145/3787586.3787589,0,2026-09-01T00:56:21.966060+00:00,
DCM-00050,Investigating User Preferences for Conversation Design of Voice Assistant Systems using Linguistic Features,https://doi.org/10.1177/21695067231192609,0,2026-09-01T00:56:22.022645+00:00,
DCM-00052,Conversational Design,https://doi.org/10.1007/978-3-658-24393-7_5,0,2026-09-01T00:56:22.106260+00:00,
DCM-00057,Conversational Design of Stochastic Service Systems from a Graphical Terminal,https://doi.org/10.1007/978-1-4613-4606-7_7,0,2026-09-01T00:56:22.106260+00:00,
DCM-00059,Human Factors in the Design of Chatbot Interactions: Conversational Design Practices,https://doi.org/10.1145/3702038.3702083,0,2026-09-01T00:56:23.116187+00:00,
DCM-00060,Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,https://doi.org/10.1007/978-3-030-96293-7_44,0,2026-09-01T00:56:23.206502+00:00,
DCM-00061,Exploring the Opinions of Experts in Conversational Design: A Study on Users’ Mental Models of Voice Assistants,https://doi.org/10.1007/978-3-031-05412-9_34,0,2026-09-01T00:56:23.166103+00:00,
