candidate_id,corpus_id,title,doi,url,license,version,source_name,path,downloaded,pdf_signature,bytes,sha256,content_type,retrieved_at,error
DCM-00591-OP0026,DCM-00591,Design Research: A Disciplined Conversation,10.2307/1511837,http://oro.open.ac.uk/39250/1/PDF_39250.pdf,CC BY NC ND,Article,Design Issues,library/staging/master-openaire/DCM-00591-OP0026-Design-Research-A-Disciplined-Conversation.pdf,false,false,0,,,2026-09-08T01:11:10.572764+00:00,<HTTPError 403: 'Forbidden'>
DCM-00595-OP0035,DCM-00595,Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509,https://doi.org/10.26686/wgtn.17148509,CC BY NC SA,Doctoral thesis,Unknown Repository,library/staging/master-openaire/DCM-00595-OP0035-Factors-Affecting-Conversation-Design-for-Digital-Political-Perso.pdf,true,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/html; charset=UTF-8,2026-09-08T01:11:10.573764+00:00,response-is-not-pdf
DCM-00595-OP0036,DCM-00595,Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/1/files/31709642.pdf,,Doctoral thesis,Unknown Repository,library/staging/master-openaire/DCM-00595-OP0036-Factors-Affecting-Conversation-Design-for-Digital-Political-Perso.pdf,true,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/html; charset=UTF-8,2026-09-08T01:11:10.573764+00:00,response-is-not-pdf
DCM-00612-OP0070,DCM-00612,Entangled Flourishings: Ideas in Conversation with Resisting Reduction,10.21428/7808da6b.00ff17d0,https://jods.mitpress.mit.edu/pub/5qv35sci/download/pdf,CC BY,Article,Unknown Repository,library/staging/master-openaire/DCM-00612-OP0070-Entangled-Flourishings-Ideas-in-Conversation-with-Resisting-Reduc.pdf,false,false,0,,,2026-09-08T01:11:10.573764+00:00,<HTTPError 403: 'Forbidden'>
DCM-00617-OP0086,DCM-00617,Personality In Conversational UI design.,10.31224/osf.io/d3t8x,https://osf.io/d3t8x/download,,Article,Unknown Repository,library/staging/master-openaire/DCM-00617-OP0086-Personality-In-Conversational-UI-design.pdf,false,false,0,,,2026-09-08T01:11:10.574763+00:00,<HTTPError 410: 'Gone'>
DCM-00627-OP0102,DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,https://dl.designresearchsociety.org/iasdr/iasdr2023/fullpapers/127/,CC BY NC,Conference object,Usiena air - Università di Siena,library/staging/master-openaire/DCM-00627-OP0102-Speculating-gender-in-conversational-interfaces.pdf,true,false,40909,688138b45f632fc0c7eb642128c2c62d1f1eaac2a0ba1968efba33b556aebba6,text/html; charset=UTF-8,2026-09-08T01:11:10.574763+00:00,response-is-not-pdf
DCM-00627-OP0104,DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,https://doi.org/10.21606/iasdr.2023.394,CC BY NC,Conference object,Usiena air - Università di Siena,library/staging/master-openaire/DCM-00627-OP0104-Speculating-gender-in-conversational-interfaces.pdf,true,false,40909,ae62b28b56706b0d5a0b120ff209020b644bfd9661d67cca79df9174589564b9,text/html; charset=UTF-8,2026-09-08T01:11:10.575763+00:00,response-is-not-pdf
DCM-00627-OP0105,DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,https://hdl.handle.net/11365/1249574,CC BY NC,Conference object,Usiena air - Università di Siena,library/staging/master-openaire/DCM-00627-OP0105-Speculating-gender-in-conversational-interfaces.pdf,false,false,0,,,2026-09-08T01:11:10.647430+00:00,<HTTPError 403: 'Forbidden'>
DCM-00631-OP0115,DCM-00631,Using Anti-Values as Conversational AI Design Constraints: Deciding on What We Shouldn't Build,10.1145/3816046.3816300,https://doi.org/10.1145/3816046.3816300,CC BY,Article,Unknown Repository,library/staging/master-openaire/DCM-00631-OP0115-Using-Anti-Values-as-Conversational-AI-Design-Constraints-Decidin.pdf,false,false,0,,,2026-09-08T01:11:10.970442+00:00,<HTTPError 403: 'Forbidden'>
DCM-00633-OP0119,DCM-00633,Trustworthy Embodied Conversational Agents for Healthcare,10.1145/3571884.3597128,https://dl.acm.org/doi/10.1145/3571884.3597128,CC BY,Conference object,Publications Open Repository TOrino,library/staging/master-openaire/DCM-00633-OP0119-Trustworthy-Embodied-Conversational-Agents-for-Healthcare.pdf,false,false,0,,,2026-09-08T01:11:11.066579+00:00,<HTTPError 403: 'Forbidden'>
