candidate_id,corpus_id,expanded_id,title,doi,local_path,pages,sha256,source_url,license,validation
DCM-00643-OP0149,DCM-00643,,PROMOTING CONVERSATIONAL APIS: A CONCEPTUAL FRAMEWORK AND A METHOD FOR API DESIGN,10.17771/pucrio.acad.49982,library/staging/master-openaire/DCM-00643-OP0149-PROMOTING-CONVERSATIONAL-APIS-A-CONCEPTUAL-FRAMEWORK-AND-A-METHOD.pdf,149,7df36a79f0d7aa577d5f2c812ab73676626103026f42e323419c1d38aeb862d8,https://www.maxwell.vrac.puc-rio.br/49982/49982.PDF,,pdf-integral-validado-local
DCM-00716-OP0310,DCM-00716,,A Conversational User Interface for Software Visualization,10.1109/vissoft.2017.21,library/staging/master-openaire/DCM-00716-OP0310-A-Conversational-User-Interface-for-Software-Visualization.pdf,5,b6f76b9097c4ec426f52dc4ed55ad7e56bc2e18bc04fe23435d803a4c6f80ecf,https://elib.dlr.de/114046/1/conversational-user-interface-PREPRINT.pdf,,pdf-integral-validado-local
DCM-00859-OP0655,DCM-00859,,Towards a Metric for Automated Conversational Dialogue System Evaluation and Improvement,10.18653/v1/w19-8654,library/staging/master-openaire/DCM-00859-OP0655-Towards-a-Metric-for-Automated-Conversational-Dialogue-System-Eva.pdf,6,c3c6862b52b89829795a525749ee0a1c203ad3969e3ea730b26904607e0cc9a9,https://www.aclweb.org/anthology/W19-8654.pdf,CC BY,pdf-integral-validado-local
DCM-00869-OP0677,DCM-00869,,Final Rises in Task-oriented and Conversational Dialogue,10.21437/speechprosody.2014-92,library/staging/master-openaire/DCM-00869-OP0677-Final-Rises-in-Task-oriented-and-Conversational-Dialogue.pdf,6,4770406477c33858050a580a0105a7ffebbdff39647accfc7e3d9a95b97a3ad1,https://www.pure.ed.ac.uk/ws/files/16677565/lai2014ivie.pdf,,pdf-integral-validado-local
DCM-00874-OP0682,DCM-00874,,Proceedings of the 1st Workshop on Document-grounded Dialogue and Conversational Question Answering (DialDoc 2021),10.18653/v1/2021.dialdoc-1,library/staging/master-openaire/DCM-00874-OP0682-Proceedings-of-the-1st-Workshop-on-Document-grounded-Dialogue-and.pdf,141,1483a535f32fc6fee588f3cbf4818fdffe706debe6e67400d3301bf5615c9b70,https://aclanthology.org/2021.dialdoc-1.pdf,CC BY,pdf-integral-validado-local
DCM-00893-OP0718,DCM-00893,,Advancing Chatbot Experience Through a User-Centric Design and Development Approach,10.29294/ijase.12.3.2026.6325-6343,library/staging/master-openaire/DCM-00893-OP0718-Advancing-Chatbot-Experience-Through-a-User-Centric-Design-and-De.pdf,19,85a3d9e125e4bb34ed58510e1b1a8337e14dac8f3e64e4b2a5e05396570c0e19,https://doi.org/10.29294/ijase.12.3.2026.6325-6343,,pdf-integral-validado-local
DCM-00915-OP0739,DCM-00915,,Design Method to Enhance Empathy for User-Centered Design: Improving the Imagination of the User Experience,10.22215/etd/2020-13882,library/staging/master-openaire/DCM-00915-OP0739-Design-Method-to-Enhance-Empathy-for-User-Centered-Design-Improvi.pdf,114,4b8395280651878fbf16ab256809d7afdf283f91b3b467137ef1e0640e89d13f,https://curve.carleton.ca/system/files/etd/157893d9-c723-4c0a-acc2-caede97ac11a/etd_pdf/29a848d9024a1b8627fcc7931852f96b/makki-designmethodtoenhanceempathyforusercentered_r.pdf,,pdf-integral-validado-local
DCM-00934-OP0759,DCM-00934,,O HUMOR CONVERSACIONAL ENTRE AMIGOS: UMA ABORDAGEM INTERACIONAL,10.17771/pucrio.acad.14068,library/staging/master-openaire/DCM-00934-OP0759-O-HUMOR-CONVERSACIONAL-ENTRE-AMIGOS-UMA-ABORDAGEM-INTERACIONAL.pdf,10,e0a35fbc70ec268122127f7e56879054618e55ed783f15ac83e2aab52f36260a,http://www.maxwell.vrac.puc-rio.br/14068/14068_1.PDF,,pdf-integral-validado-local
DCM-00958-OP0787,DCM-00958,,Análisis conversacional del Discurso Procesal Penal,10.25267/pragmalinguistica.2015.i23.01,library/staging/master-openaire/DCM-00958-OP0787-An-lisis-conversacional-del-Discurso-Procesal-Penal.pdf,14,460af0d181691e3afcb1004c35dd8930f06baed49d9a161dce35035aeb3ec8d1,https://doi.org/10.25267/pragmalinguistica.2015.i23.01,,pdf-integral-validado-local
DCM-00964-OP0796,DCM-00964,,A co-construção do humor conversacional para encobrir diferentes objetivos,10.4013/cld.2011.92.08,library/staging/master-openaire/DCM-00964-OP0796-A-co-constru-o-do-humor-conversacional-para-encobrir-diferentes-o.pdf,10,04c620f95d3b55b5d7d04f92be31f55d1bccb2af23caec75654c7f600713274f,http://revistas.unisinos.br/index.php/calidoscopio/article/download/cld.2011.92.08/421,CC BY,pdf-integral-validado-local
DCM-00978-OP0809,DCM-00978,,Habilidades conversacionais de crianças com transtornos do espectro autístico,10.11606/t.5.2012.tde-09012013-174947,library/staging/master-openaire/DCM-00978-OP0809-Habilidades-conversacionais-de-crian-as-com-transtornos-do-espect.pdf,96,0e4f7ad905189da5fd8ff262fc98b91c770d77bd2ca8e11e79fbf35890baf1c2,http://www.teses.usp.br/teses/disponiveis/5/5162/tde-09012013-174947/publico/LilianePerroudMiilher.pdf,CC BY NC SA,pdf-integral-validado-local
DCM-00983-OP0817,DCM-00983,,Agentes Inteligentes Conversacionais: Conceitos Básicos e Desenvolvimento,10.5753/sbc.6.4,library/staging/master-openaire/DCM-00983-OP0817-Agentes-Inteligentes-Conversacionais-Conceitos-B-sicos-e-Desenvol.pdf,50,22761854e0bf031607d9ebda640b580b756777407227084a1d56ec254cabf75c,http://portaldeconteudo.sbc.org.br/livros/index.php/sbc/catalog/download/6/6/20-1,,pdf-integral-validado-local
DCM-00984-OP0820,DCM-00984,,OS ESTILOS CONVERSACIONAIS DO REPÓRTER AÉREO NO CONTEXTO DE RÁDIOS NA CIDADE DO RIO DE JANEIRO,10.17771/pucrio.acad.22264,library/staging/master-openaire/DCM-00984-OP0820-OS-ESTILOS-CONVERSACIONAIS-DO-REP-RTER-A-REO-NO-CONTEXTO-DE-R-DIO.pdf,11,8efe69a065bafa7c1396123d70dc254eebd800ee9e7f5dd800b8068bf71ed4b6,https://www.maxwell.vrac.puc-rio.br/22264/22264_1.PDF,,pdf-integral-validado-local
DCM-00992-OP0824,DCM-00992,,Computer-Aided Design of User Interfaces by Example,10.1007/978-94-010-0421-3_1,library/staging/master-openaire/DCM-00992-OP0824-Computer-Aided-Design-of-User-Interfaces-by-Example.pdf,12,8fb14d5786a6b001c1061e14e1580a792addbf1d8a5a74ce9610f76b932547eb,http://web.media.mit.edu/~lieber/Publications/CADUI_by_Example.pdf,,pdf-integral-validado-local
