candidate_id,corpus_id,title,doi,url,license,version,source_name,path,downloaded,pdf_signature,bytes,sha256,content_type,retrieved_at,error
DCM-00045-OA002,DCM-00045,Beyond Binary Dialogues: Research and Development of a Linguistically Nuanced Conversation Design for Social Robots in Group–Robot Interactions,10.3390/app142210316,https://epb.bibl.th-koeln.de/files/2859/applsci-14-10316-v2.pdf,cc-by,submittedVersion,ePublications (Technical University of Cologne),library/staging/master-openalex/DCM-00045-OA002-Beyond-Binary-Dialogues-Research-and-Development-of-a-Linguistica.pdf,false,false,0,,,2026-09-08T01:01:09.804832+00:00,"URLError(ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None))"
DCM-00186-OA002,DCM-00186,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,10.1145/3708359.3712133,https://arxiv.org/pdf/2501.17546,cc-by,submittedVersion,arXiv (Cornell University),library/staging/master-openalex/DCM-00186-OA002-Is-Conversational-XAI-All-You-Need-Human-AI-Decision-Making-With-.pdf,true,true,1370291,ca3f01d2c012fe17abca17f9c9aa12fc8ddf8f220d34b63df5bcd1c629f5db42,application/pdf,2026-09-08T01:01:09.804832+00:00,
DCM-00215-OA003,DCM-00215,Validation of system usability scale as a usability metric to evaluate voice user interfaces,10.7717/peerj-cs.1918,https://pmc.ncbi.nlm.nih.gov/articles/PMC10909179/pdf/peerj-cs-10-1918.pdf,cc-by,submittedVersion,PubMed Central,library/staging/master-openalex/DCM-00215-OA003-Validation-of-system-usability-scale-as-a-usability-metric-to-eva.pdf,true,false,21479,848aca9f84b08b146137521591d9919a4b2f8cf9a2997ebfc93feb8b6e0c1a65,text/html; charset=utf-8,2026-09-08T01:01:09.805832+00:00,response-is-not-pdf
DCM-00231-OA003,DCM-00231,Speed Dating with Voice User Interfaces: Understanding How Families Interact and Perceive Voice User Interfaces in a Group Setting,10.3389/frobt.2021.730992,https://dspace.mit.edu/bitstream/1721.1/139833.2/1/frobt-08-730992.pdf,cc-by-nc-sa,submittedVersion,DSpace@MIT (Massachusetts Institute of Technology),library/staging/master-openalex/DCM-00231-OA003-Speed-Dating-with-Voice-User-Interfaces-Understanding-How-Familie.pdf,true,true,2745967,ea6001656cbcfcdea9bdd079f0b172474f72714d6932dc0d91c7b8b1b385cd95,application/pdf,2026-09-08T01:01:09.805832+00:00,
DCM-00269-OA003,DCM-00269,User perceptions and experiences of an AI-driven conversational agent for mental health support,10.21037/mhealth-23-55,https://pmc.ncbi.nlm.nih.gov/articles/PMC11304096/pdf/mh-10-23-55.pdf,cc-by-nc-nd,submittedVersion,PubMed Central,library/staging/master-openalex/DCM-00269-OA003-User-perceptions-and-experiences-of-an-AI-driven-conversational-a.pdf,true,false,21466,406071cc32db5aa97acb750cf0acb87dac2cbd9336b34c1540c5140aac62b444,text/html; charset=utf-8,2026-09-08T01:01:09.806831+00:00,response-is-not-pdf
DCM-00272-OA002,DCM-00272,A linguistics-based approach to refining automatic intent detection in conversational agent design,10.1016/j.ins.2024.121493,https://iris.univpm.it/bitstream/11566/334633/2/Versione%20pubblicata.pdf,cc-by,submittedVersion,Università Politecnica delle Marche (Università Politecnica delle Marche),library/staging/master-openalex/DCM-00272-OA002-A-linguistics-based-approach-to-refining-automatic-intent-detecti.pdf,false,false,0,,,2026-09-08T01:01:09.807832+00:00,<HTTPError 403: 'Forbidden'>
DCM-00298-OA002,DCM-00298,Co-designing conversational agents: A comprehensive review and recommendations for best practices,10.1016/j.destud.2023.101230,https://www.repository.cam.ac.uk/bitstreams/de83a48b-b345-48f3-93f1-d4da42348e3c/download,cc-by,submittedVersion,Apollo (University of Cambridge),library/staging/master-openalex/DCM-00298-OA002-Co-designing-conversational-agents-A-comprehensive-review-and-rec.pdf,true,true,8978453,c5decb4dcd0569b53a334e3c8cae21dfe6b7dd0ab0542960dab1cc25d7756b30,application/pdf;charset=UTF-8,2026-09-08T01:01:09.836549+00:00,
DCM-00331-OA003,DCM-00331,Conversing with Objects toward Fluid Human and Artificial Identities during Life Transitions,10.1145/3772318.3790474,https://arxiv.org/pdf/2601.12589,,submittedVersion,arXiv (Cornell University),library/staging/master-openalex/DCM-00331-OA003-Conversing-with-Objects-toward-Fluid-Human-and-Artificial-Identit.pdf,true,true,34252501,3659ef288292019cdb580b606271ce438ef8cb7f54652eacf541da3e3690d93a,application/pdf,2026-09-08T01:01:09.860488+00:00,
DCM-00379-OA003,DCM-00379,Investigating the Potential of a Conversational Agent (Phyllis) to Support Adolescent Health and Overcome Barriers to Physical Activity: Co-Design Study,10.2196/51571,https://shura.shu.ac.uk/33245/1/Moore-InvestigatingThePotential%28VoR%29.pdf,cc-by,acceptedVersion,SHURA (Sheffield Hallam University Research Archive) (Sheffield Hallam University),library/staging/master-openalex/DCM-00379-OA003-Investigating-the-Potential-of-a-Conversational-Agent-Phyllis-to-.pdf,true,true,507846,43b322e6f7f60ea47cc2d9234bc35a509ce5866e1e21b9ed52f19927d50ec09e,application/pdf,2026-09-08T01:01:10.519408+00:00,
DCM-00379-OA004,DCM-00379,Investigating the Potential of a Conversational Agent (Phyllis) to Support Adolescent Health and Overcome Barriers to Physical Activity: Co-Design Study,10.2196/51571,https://pmc.ncbi.nlm.nih.gov/articles/PMC10867744/pdf/formative_v8i1e51571.pdf,cc-by,submittedVersion,PubMed Central,library/staging/master-openalex/DCM-00379-OA004-Investigating-the-Potential-of-a-Conversational-Agent-Phyllis-to-.pdf,true,false,21490,3f955835424160b0a57ab98f1e92d84d3639a31dee0f5de2d1db35a1e8dcb241,text/html; charset=utf-8,2026-09-08T01:01:10.530434+00:00,response-is-not-pdf
