record_id,title,doi,pdf_path,text_path,pages,pages_with_text,page_errors,characters,text_sha256,extraction_status
DCM-00186,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,10.1145/3708359.3712133,library\staging\master-openalex\DCM-00186-OA002-Is-Conversational-XAI-All-You-Need-Human-AI-Decision-Making-With-.pdf,extracted-text\local-only\master-openalex\DCM-00186-OA002-Is-Conversational-XAI-All-You-Need-Human-AI-Decision-Making-With-.txt,18,18,0,122191,9bfb4a40c1c0fbae4fea2821b76263660ab844520d7699f0c8837cfeb4bd7456,complete
DCM-00298,Co-designing conversational agents: A comprehensive review and recommendations for best practices,10.1016/j.destud.2023.101230,library\staging\master-openalex\DCM-00298-OA002-Co-designing-conversational-agents-A-comprehensive-review-and-rec.pdf,extracted-text\local-only\master-openalex\DCM-00298-OA002-Co-designing-conversational-agents-A-comprehensive-review-and-rec.txt,46,46,0,97926,d721c320170014936edfd86ab7c81c87fb920f10e875ec6fcb0c0c3160b188a5,complete
DCM-00331,Conversing with Objects toward Fluid Human and Artificial Identities during Life Transitions,10.1145/3772318.3790474,library\staging\master-openalex\DCM-00331-OA003-Conversing-with-Objects-toward-Fluid-Human-and-Artificial-Identit.pdf,extracted-text\local-only\master-openalex\DCM-00331-OA003-Conversing-with-Objects-toward-Fluid-Human-and-Artificial-Identit.txt,19,19,0,122941,df22f8e96fc49679ee489b4784a1561e008e258f71684e1c68f4aafbf5be0720,complete
DCM-00379,Investigating the Potential of a Conversational Agent (Phyllis) to Support Adolescent Health and Overcome Barriers to Physical Activity: Co-Design Study,10.2196/51571,library\staging\master-openalex\DCM-00379-OA003-Investigating-the-Potential-of-a-Conversational-Agent-Phyllis-to-.pdf,extracted-text\local-only\master-openalex\DCM-00379-OA003-Investigating-the-Potential-of-a-Conversational-Agent-Phyllis-to-.txt,20,20,0,88799,20645eab67fd7ee6828ba17aaf11530537645c28bedaa66fd11e3cf360f4ccb8,complete
DCM-00537,Aprendizaje adaptativo del inglés como lengua extranjera con herramientas de inteligencia artificial: una revisión sistemática de la literatura,10.30827/profesorado.v29i1.30828,library\staging\master-openalex\DCM-00537-OA002-Aprendizaje-adaptativo-del-ingl-s-como-lengua-extranjera-con-herr.pdf,extracted-text\local-only\master-openalex\DCM-00537-OA002-Aprendizaje-adaptativo-del-ingl-s-como-lengua-extranjera-con-herr.txt,24,24,0,64041,00a9eafd0d27f8fec9287a5cc4e5c9c00b98aec7f3f27a2b3309d4c0d4c83e46,complete
DCM-00582,"Design thinking and the Deanly conversation: Reflections on conversation, community, and agency",10.5204/jld.v8i3.253,library\staging\master-openalex\DCM-00582-OA001-Design-thinking-and-the-Deanly-conversation-Reflections-on-conver.pdf,extracted-text\local-only\master-openalex\DCM-00582-OA001-Design-thinking-and-the-Deanly-conversation-Reflections-on-conver.txt,24,24,0,92667,4fab921d5934f342c96b4769178ee6fbe72d4e78d68e7178c8bfc88f31cde884,complete
DCM-00625,Conversational Agents Trust Calibration,10.1145/3543829.3544518,library\staging\master-openalex\DCM-00625-OA002-Conversational-Agents-Trust-Calibration.pdf,extracted-text\local-only\master-openalex\DCM-00625-OA002-Conversational-Agents-Trust-Calibration.txt,6,6,0,37247,6a6d750364c5166fa87237838a040ea0ea77703889efdc2a533a767df9b90aac,complete
DCM-00690,Don't Believe The Hype!,10.1145/3405755.3406140,library\staging\master-openalex\DCM-00690-OA002-Don-t-Believe-The-Hype.pdf,extracted-text\local-only\master-openalex\DCM-00690-OA002-Don-t-Believe-The-Hype.txt,4,4,0,14971,8c8593f2c47ea8e6074808332d1c1959d415c456b05b11c07845190728f44537,complete
DCM-00696,A need for trust in conversational interface research,10.1145/3342775.3342809,library\staging\master-openalex\DCM-00696-OA002-A-need-for-trust-in-conversational-interface-research.pdf,extracted-text\local-only\master-openalex\DCM-00696-OA002-A-need-for-trust-in-conversational-interface-research.txt,3,3,0,16873,8f1eb0b8d3ecd8f581e3c522aeb0c80cc00fbe7612275b78b88f51fc380a628e,complete
DCM-00706,After the Interface: Relocating Human Agency in the Age of Conversational AI,10.1145/3816046.3816301,library\staging\master-openalex\DCM-00706-OA002-After-the-Interface-Relocating-Human-Agency-in-the-Age-of-Convers.pdf,extracted-text\local-only\master-openalex\DCM-00706-OA002-After-the-Interface-Relocating-Human-Agency-in-the-Age-of-Convers.txt,7,7,0,39522,8e4cfad3d7143adc738e0d44d394c0711eddc529435fdf7acb8ec775307ecd06,complete
DCM-00714,Developing A Conversational Interface for an ACT-based Online Program: Understanding Adolescents’ Expectations of Conversational Style,10.1145/3571884.3597142,library\staging\master-openalex\DCM-00714-OA002-Developing-A-Conversational-Interface-for-an-ACT-based-Online-Pro.pdf,extracted-text\local-only\master-openalex\DCM-00714-OA002-Developing-A-Conversational-Interface-for-an-ACT-based-Online-Pro.txt,17,17,0,79840,4ef03e61f21a34e766b6d706d5925575a9cbf19bfab3b1261495739ccde5d850,complete
DCM-00726,User Experience Design: Beyond User Interface Design and Usability,10.5772/35041,library\staging\master-openalex\DCM-00726-OA001-User-Experience-Design-Beyond-User-Interface-Design-and-Usability.pdf,extracted-text\local-only\master-openalex\DCM-00726-OA001-User-Experience-Design-Beyond-User-Interface-Design-and-Usability.txt,24,24,0,69428,3d9dfaa5fa5d2722a9f84aaf4b2cdcb4e4a673507e9945b9fc9cc446ffe6fb4d,complete
DCM-00780,"Designing a Couples-Based Conversational Agent to Promote Safe Sex in New, Young Couples: A User-Centred Design Approach",10.1145/3640794.3665556,library\staging\master-openalex\DCM-00780-OA002-Designing-a-Couples-Based-Conversational-Agent-to-Promote-Safe-Se.pdf,extracted-text\local-only\master-openalex\DCM-00780-OA002-Designing-a-Couples-Based-Conversational-Agent-to-Promote-Safe-Se.txt,12,12,0,73531,e7bec804f5efe19be29e0f0c3508f8750ed88f8ba0b2d3b2a40f25cd633e50ad,complete
DCM-00784,Eliciting Spoken Interruptions to Inform Proactive Speech Agent Design,10.1145/3469595.3469618,library\staging\master-openalex\DCM-00784-OA003-Eliciting-Spoken-Interruptions-to-Inform-Proactive-Speech-Agent-D.pdf,extracted-text\local-only\master-openalex\DCM-00784-OA003-Eliciting-Spoken-Interruptions-to-Inform-Proactive-Speech-Agent-D.txt,12,12,0,68826,ef42549d48d87d924056b56766ee114d96df3114bee4e131ca3cb2d0de48afce,complete
DCM-00786,Exploring the Potential of Conversational AI Support for Agent-Based Social Simulation Model Design,10.18564/jasss.5681,library\staging\master-openalex\DCM-00786-OA001-Exploring-the-Potential-of-Conversational-AI-Support-for-Agent-Ba.pdf,extracted-text\local-only\master-openalex\DCM-00786-OA001-Exploring-the-Potential-of-Conversational-AI-Support-for-Agent-Ba.txt,25,25,0,110091,4860624b17ba50a7dfad664d532f6c629d0d21e02d066846f243fe4c3f9406e5,complete
DCM-00789,IBOT: AN AGENT-BASED SOFTWARE FRAMEWORK FOR CREATING DOMAIN CONVERSATIONAL AGENTS,10.17771/pucrio.acad.35430,library\staging\master-openalex\DCM-00789-OA001-IBOT-AN-AGENT-BASED-SOFTWARE-FRAMEWORK-FOR-CREATING-DOMAIN-CONVER.pdf,extracted-text\local-only\master-openalex\DCM-00789-OA001-IBOT-AN-AGENT-BASED-SOFTWARE-FRAMEWORK-FOR-CREATING-DOMAIN-CONVER.txt,70,70,0,98396,dc2ab5504bfbf4ea58248e48b2e86dead37cece0a5e3acf059718e709bcdaeb6,complete
DCM-00797,Who Does Your AI Work For? Designing Conversational Agents as Digital Fiduciaries,10.1145/3816046.3816299,library\staging\master-openalex\DCM-00797-OA002-Who-Does-Your-AI-Work-For-Designing-Conversational-Agents-as-Digi.pdf,extracted-text\local-only\master-openalex\DCM-00797-OA002-Who-Does-Your-AI-Work-For-Designing-Conversational-Agents-as-Digi.txt,5,5,0,30586,38a50e20e8e98fb956514823f1b2ab23fc495b98013253667e7f42552432205a,complete
DCM-00802,Advancing Open-Domain Conversational Agents - Designing an Engaging System for Natural Multi-Turn Dialogue,10.18653/v1/2024.scichat-1.8,library\staging\master-openalex\DCM-00802-OA001-Advancing-Open-Domain-Conversational-Agents-Designing-an-Engaging.pdf,extracted-text\local-only\master-openalex\DCM-00802-OA001-Advancing-Open-Domain-Conversational-Agents-Designing-an-Engaging.txt,5,5,0,17776,c9116721ef5aa31ac1d06e480b00dd9b295817a694e8522c6eb0e4273087e244,complete
DCM-00815,Designing for connection,10.17918/00011302,library\staging\master-openalex\DCM-00815-OA002-Designing-for-connection.pdf,extracted-text\local-only\master-openalex\DCM-00815-OA002-Designing-for-connection.txt,153,152,0,326328,b7306b8c1b41be484f89482f0a7a1d6f8936c831fddacfc03cd11a63e6c9d9ae,partial-page-coverage
DCM-00829,System and User Strategies to Repair Conversational Breakdowns of Spoken Dialogue Systems: A Scoping Review,10.1145/3640794.3665558,library\staging\master-openalex\DCM-00829-OA002-System-and-User-Strategies-to-Repair-Conversational-Breakdowns-of.pdf,extracted-text\local-only\master-openalex\DCM-00829-OA002-System-and-User-Strategies-to-Repair-Conversational-Breakdowns-of.txt,13,13,0,84842,96dfe5d61644ee439d476b6770d8e74c85770fff1f0ca6ccd80e9bb3b9b52c0f,complete
DCM-00831,Construction of Hierarchical Structured Knowledge-based Recommendation Dialogue Dataset and Dialogue System,10.18653/v1/2022.dialdoc-1.9,library\staging\master-openalex\DCM-00831-OA001-Construction-of-Hierarchical-Structured-Knowledge-based-Recommend.pdf,extracted-text\local-only\master-openalex\DCM-00831-OA001-Construction-of-Hierarchical-Structured-Knowledge-based-Recommend.txt,10,10,0,38617,d8b3fde77c9954df880d7959a16b8f37a736b6402d634e1126096a013a456005,complete
