candidate_id,corpus_id,expanded_id,title,doi,local_path,pages,sha256,source_url,license,validation
DCM-00186-OA002,DCM-00186,,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,10.1145/3708359.3712133,library/staging/master-openalex/DCM-00186-OA002-Is-Conversational-XAI-All-You-Need-Human-AI-Decision-Making-With-.pdf,18,ca3f01d2c012fe17abca17f9c9aa12fc8ddf8f220d34b63df5bcd1c629f5db42,https://arxiv.org/pdf/2501.17546,cc-by,pdf-integral-validado-local
DCM-00298-OA002,DCM-00298,,Co-designing conversational agents: A comprehensive review and recommendations for best practices,10.1016/j.destud.2023.101230,library/staging/master-openalex/DCM-00298-OA002-Co-designing-conversational-agents-A-comprehensive-review-and-rec.pdf,46,c5decb4dcd0569b53a334e3c8cae21dfe6b7dd0ab0542960dab1cc25d7756b30,https://www.repository.cam.ac.uk/bitstreams/de83a48b-b345-48f3-93f1-d4da42348e3c/download,cc-by,pdf-integral-validado-local
DCM-00331-OA003,DCM-00331,,Conversing with Objects toward Fluid Human and Artificial Identities during Life Transitions,10.1145/3772318.3790474,library/staging/master-openalex/DCM-00331-OA003-Conversing-with-Objects-toward-Fluid-Human-and-Artificial-Identit.pdf,19,3659ef288292019cdb580b606271ce438ef8cb7f54652eacf541da3e3690d93a,https://arxiv.org/pdf/2601.12589,,pdf-integral-validado-local
DCM-00379-OA003,DCM-00379,,Investigating the Potential of a Conversational Agent (Phyllis) to Support Adolescent Health and Overcome Barriers to Physical Activity: Co-Design Study,10.2196/51571,library/staging/master-openalex/DCM-00379-OA003-Investigating-the-Potential-of-a-Conversational-Agent-Phyllis-to-.pdf,20,43b322e6f7f60ea47cc2d9234bc35a509ce5866e1e21b9ed52f19927d50ec09e,https://shura.shu.ac.uk/33245/1/Moore-InvestigatingThePotential%28VoR%29.pdf,cc-by,pdf-integral-validado-local
DCM-00537-OA002,DCM-00537,,Aprendizaje adaptativo del inglés como lengua extranjera con herramientas de inteligencia artificial: una revisión sistemática de la literatura,10.30827/profesorado.v29i1.30828,library/staging/master-openalex/DCM-00537-OA002-Aprendizaje-adaptativo-del-ingl-s-como-lengua-extranjera-con-herr.pdf,24,2ec1c3cd54dbf987c4711f3eb77a7408dc8556400e4d6078969cbf41abc0b3d8,https://digibug.ugr.es/bitstream/10481/104284/1/11%29%2b30828.pdf,cc-by-nc,pdf-integral-validado-local
DCM-00582-OA001,DCM-00582,,"Design thinking and the Deanly conversation: Reflections on conversation, community, and agency",10.5204/jld.v8i3.253,library/staging/master-openalex/DCM-00582-OA001-Design-thinking-and-the-Deanly-conversation-Reflections-on-conver.pdf,24,91afbcfee243ade03778135bd88d6483155351bb54e0942102462676686d336a,https://www.jld.edu.au/article/download/253/253-629-1-PB.pdf,cc-by,pdf-integral-validado-local
DCM-00625-OA002,DCM-00625,,Conversational Agents Trust Calibration,10.1145/3543829.3544518,library/staging/master-openalex/DCM-00625-OA002-Conversational-Agents-Trust-Calibration.pdf,6,09da86557d6e5f2e2783f74dfa851e4690de0462b66010b3c85284af38f1224a,https://strathprints.strath.ac.uk/82859/1/Dubiel_etal_ACM_2022_Conversational_agents_trust.pdf,,pdf-integral-validado-local
DCM-00690-OA002,DCM-00690,,Don't Believe The Hype!,10.1145/3405755.3406140,library/staging/master-openalex/DCM-00690-OA002-Don-t-Believe-The-Hype.pdf,4,3ce7cc350412fbf8787afc9ee7f9666e5b0b64915d84d7042f5705814bc5e90c,https://discovery.dundee.ac.uk/ws/files/51397989/3405755.3406140.pdf,other-oa,pdf-integral-validado-local
DCM-00696-OA002,DCM-00696,,A need for trust in conversational interface research,10.1145/3342775.3342809,library/staging/master-openalex/DCM-00696-OA002-A-need-for-trust-in-conversational-interface-research.pdf,3,4fe147722060fa4132b099a5f72c44a9bd97d67f6cdcb244c0a835ae7bef3028,https://arxiv.org/pdf/1907.01923,,pdf-integral-validado-local
DCM-00706-OA002,DCM-00706,,After the Interface: Relocating Human Agency in the Age of Conversational AI,10.1145/3816046.3816301,library/staging/master-openalex/DCM-00706-OA002-After-the-Interface-Relocating-Human-Agency-in-the-Age-of-Convers.pdf,7,57d7552a79127c5851dd10ecc43fcf6a3c3e6c8042342981f4c8376bf8e9ac82,https://arxiv.org/pdf/2605.15064,cc-by-nc-nd,pdf-integral-validado-local
DCM-00714-OA002,DCM-00714,,Developing A Conversational Interface for an ACT-based Online Program: Understanding Adolescents’ Expectations of Conversational Style,10.1145/3571884.3597142,library/staging/master-openalex/DCM-00714-OA002-Developing-A-Conversational-Interface-for-an-ACT-based-Online-Pro.pdf,17,86f48b5c0211dfce1c714bbad05316420d8fa448a9f52629c4b6279f9cd2f82d,https://jyx.jyu.fi/bitstreams/c23b1cfa-3358-4544-890a-42576cbbafcf/download,cc-by,pdf-integral-validado-local
DCM-00726-OA001,DCM-00726,,User Experience Design: Beyond User Interface Design and Usability,10.5772/35041,library/staging/master-openalex/DCM-00726-OA001-User-Experience-Design-Beyond-User-Interface-Design-and-Usability.pdf,24,88cec41e150568bbf0ba81c0b264132733da36b7a4589a45260f7f8074715398,https://www.intechopen.com/citation-pdf-url/35818,cc-by,pdf-integral-validado-local
DCM-00780-OA002,DCM-00780,,"Designing a Couples-Based Conversational Agent to Promote Safe Sex in New, Young Couples: A User-Centred Design Approach",10.1145/3640794.3665556,library/staging/master-openalex/DCM-00780-OA002-Designing-a-Couples-Based-Conversational-Agent-to-Promote-Safe-Se.pdf,12,046d892f9d9b2a044da1750ddb61d5093f1a2d1b433524f0b2a53407b53f70c6,https://pure.uva.nl/ws/files/213015548/3640794.3665556.pdf,cc-by,pdf-integral-validado-local
DCM-00784-OA003,DCM-00784,,Eliciting Spoken Interruptions to Inform Proactive Speech Agent Design,10.1145/3469595.3469618,library/staging/master-openalex/DCM-00784-OA003-Eliciting-Spoken-Interruptions-to-Inform-Proactive-Speech-Agent-D.pdf,12,f820a9424796aa91e202532c48f6a99f0e0904cad17e23829fd1fbc7f1fc5a89,https://arxiv.org/pdf/2106.02077,,pdf-integral-validado-local
DCM-00786-OA001,DCM-00786,,Exploring the Potential of Conversational AI Support for Agent-Based Social Simulation Model Design,10.18564/jasss.5681,library/staging/master-openalex/DCM-00786-OA001-Exploring-the-Potential-of-Conversational-AI-Support-for-Agent-Ba.pdf,25,d6b29e60edd0e804be30193717da9284142af153ebdcb1e8a1f34523e5fdd06b,https://www.jasss.org/28/3/2/2.pdf,cc-by,pdf-integral-validado-local
DCM-00789-OA001,DCM-00789,,IBOT: AN AGENT-BASED SOFTWARE FRAMEWORK FOR CREATING DOMAIN CONVERSATIONAL AGENTS,10.17771/pucrio.acad.35430,library/staging/master-openalex/DCM-00789-OA001-IBOT-AN-AGENT-BASED-SOFTWARE-FRAMEWORK-FOR-CREATING-DOMAIN-CONVER.pdf,70,2408ade744c117bfc53f625e6b623ae81dabe3a841b5e5fd0d1fd3d0d27ec1ad,https://www.maxwell.vrac.puc-rio.br/35430/35430.PDF,,pdf-integral-validado-local
DCM-00797-OA002,DCM-00797,,Who Does Your AI Work For? Designing Conversational Agents as Digital Fiduciaries,10.1145/3816046.3816299,library/staging/master-openalex/DCM-00797-OA002-Who-Does-Your-AI-Work-For-Designing-Conversational-Agents-as-Digi.pdf,5,5f74267fca950f39cad4b7859b682aaf7b659e56108c08f57dee305813f6601d,https://arxiv.org/pdf/2605.28908,cc-by,pdf-integral-validado-local
