title,doi,url,valid_pdf,correspondence,coverage,pages,bytes,sha256,local_path,license,hosted_by,error
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,http://arxiv.org/abs/2203.15767,false,false,0,,41905,94ceaf4d1e2e28c29a0e6ea234f1642b5c5785fb9aa423423302a088b7a624e9,,,arXiv.org e-Print Archive,ValueError('response-is-not-pdf')
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,https://doi.org/10.3389/frobt.2024.1393456,false,false,0,,787169,2d204dc25470057fa2034e49024a5bd24b584db1a808d31379fea16e93381ff7,,CC BY,Frontiers in Robotics and AI,ValueError('response-is-not-pdf')
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,https://pubmed.ncbi.nlm.nih.gov/38863781,false,false,0,,5565,e4e41f251f5b49bcaa7eae2242afd1babc3b95adacb1dfe0311d014a52e307f2,,,Frontiers in Robotics and AI,ValueError('response-is-not-pdf')
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,http://dx.doi.org/10.3389/frobt.2024.1393456,false,false,0,,787169,2d204dc25470057fa2034e49024a5bd24b584db1a808d31379fea16e93381ff7,,CC BY,PubMed Central,ValueError('response-is-not-pdf')
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,https://doaj.org/article/f1f5c9d0dedf47a7b46881d61b2e2cff,false,false,0,,0,,,,Frontiers in Robotics and AI,<HTTPError 403: 'Forbidden'>
Communicating Service Offers in a Conversational User Interface,10.1145/3441000.3441046,https://hdl.handle.net/11250/2773723,false,false,0,,3772,7555d2c8abfc0eaad45f1c13b7af91e66f0c02ccac5ae4381ce509153a738356,,,Norwegian Open Research Archives,ValueError('response-is-not-pdf')
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,https://doi.org/10.2196/43135,false,false,0,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,JMIR Human Factors,ValueError('response-is-not-pdf')
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,https://pubmed.ncbi.nlm.nih.gov/36634267,false,false,0,,5565,78004d3b4283b6b1a9585991854402915e8ca9b79924f7d94076c38e28db0c33,,,JMIR Human Factors,ValueError('response-is-not-pdf')
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,http://dx.doi.org/10.2196/43135,false,false,0,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"http://creativecommons.org/licenses/by/4.0/This is an open-access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Human Factors, is properly cited. The complete bibliographic information, a link to the original publication on http://humanfactors.jmir.org, as well as this copyright and license information must be included.",PubMed Central,ValueError('response-is-not-pdf')
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,https://doaj.org/article/5c806fb0041743b38e4602e4caa0ad99,false,false,0,,0,,,,JMIR Human Factors,<HTTPError 403: 'Forbidden'>
CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,10.1145/3334480.3375152,http://www.tara.tcd.ie/bitstream/2262/92764/1/Issues%20Relating%20to%20Trust%20in%20Care%20Agents%20for%20the%20Elderly.pdf,false,false,0,,0,,,,Unknown Repository,<HTTPError 403: 'Forbidden'>
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,https://doi.org/10.1145/3613904.3642542,false,false,0,,0,,,CC BY,Unknown Repository,<HTTPError 403: 'Forbidden'>
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,http://arxiv.org/abs/2401.14746,false,false,0,,44998,7dc1becf38613740b32278e2ef7d7e0abe07894a01d2f236634c06fccb2ea7cc,,,arXiv.org e-Print Archive,ValueError('response-is-not-pdf')
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,https://cronfa.swan.ac.uk/Record/cronfa54807/Download/54807__17998__26c9262647e646a9b7d6ac2e7272a5b0.pdf,false,false,0,,0,,,,Unknown Repository,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
Implementing an accessible conversational user interface,10.1145/3430263.3452431,http://oro.open.ac.uk/75438/1/ADMINS%20w4all.pdf,false,false,0,,0,,,CC BY NC ND,Unknown Repository,<HTTPError 403: 'Forbidden'>
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,https://cronfa.swan.ac.uk/Record/cronfa56148/Download/56148__19207__5d0813b2ab1344a78a29c1a19b8410a0.pdf,false,false,0,,0,,,,Unknown Repository,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
Conversational User Interfaces in Smart Homecare Interactions: A Conversation Analytic Case Study,10.1145/3571884.3597140,https://doi.org/10.1145/3571884.3597140,false,false,0,,0,,,CC BY,Unknown Repository,<HTTPError 403: 'Forbidden'>
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,http://arxiv.org/abs/2306.05228,false,false,0,,42744,47e41d7815c4037c079d696788c895fba485a7742739765388701c93ae655748,,,arXiv.org e-Print Archive,ValueError('response-is-not-pdf')
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,https://link.springer.com/content/pdf/10.1007%2F978-0-306-47002-8_20.pdf,true,true,1.000,12,1459065,7ed9584d359fac51da27e5faa075f1e57418f45122aad7279be4fb5d76beb855,library\staging\openaire\10.1007-978-0-306-47002-8_20-b4226fbb4e.pdf,,Unknown Repository,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,false,false,0,,0,,,,Unknown Repository,<HTTPError 403: 'Forbidden'>
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,https://www.alexandria.unisg.ch/handle/20.500.14171/109644,false,false,0,,0,,,,Alexandria Research Platform,<HTTPError 405: 'Not Allowed'>
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,https://doi.org/10.1145/3640794.3665547,false,false,0,,0,,,CC BY,Unknown Repository,<HTTPError 403: 'Forbidden'>
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,https://research.tue.nl/en/publications/dc0dd4c9-d908-4aa1-a360-9620f0c4bec4,false,false,0,,57112,7f01bc5cc6de5a9d6c9242cff8f664877b4d3c443af1a34d542d1b3f85bdb267,,CC BY,Eindhoven University of Technology Research Portal,ValueError('response-is-not-pdf')
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,https://dx.doi.org/10.6084/m9.figshare.12905991.v1,false,false,0,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,CC BY,figshare,ValueError('response-is-not-pdf')
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,https://dx.doi.org/10.6084/m9.figshare.12905991,false,false,0,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,CC BY,figshare,ValueError('response-is-not-pdf')
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,https://hdl.handle.net/2066/246895,false,false,0,,20121,7d7801a89522d483841d2366a488f049f6d325f36406a641b38085519a435346,,,Radboud Repository,ValueError('response-is-not-pdf')
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,https://repository.ubn.ru.nl//bitstream/handle/2066/246895/246895.pdf,false,false,0,,0,,,,Radboud Repository,<HTTPError 403: 'Forbidden'>
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,https://publications.rwth-aachen.de/record/842424,false,false,0,,248,4681fa6e4303ecc351521fa1c7c836c9f3d6774b11725d39885ec3bf8ff16561,,,Publikationsserver der RWTH Aachen University,ValueError('response-is-not-pdf')
Mental health management as a social endeavour: Challenges and opportunities for conversational agent design,10.1016/j.ijhcs.2025.103618,https://doi.org/10.1016/j.ijhcs.2025.103618,false,false,0,,2720,41fc46cdc2ae1e5423726766947cc9377ab34a92062974eaee86c7beac02b920,,CC BY,International Journal of Human-Computer Studies,ValueError('response-is-not-pdf')
"Co-designing conversational agents with older people: A scoping review of methods, challenges, and a way forward",10.1016/j.chbr.2025.100606,https://doi.org/10.1016/j.chbr.2025.100606,false,false,0,,2724,9c6b43e4c72293480bed7e14c994f91fb063c2ce48c226d9ef80a3d00ac901df,,CC BY NC,Computers in Human Behavior Reports,ValueError('response-is-not-pdf')
"Co-designing conversational agents with older people: A scoping review of methods, challenges, and a way forward",10.1016/j.chbr.2025.100606,https://doaj.org/article/70488a0909e24a0f9f977e1caf724882,false,false,0,,0,,,,Computers in Human Behavior Reports,<HTTPError 403: 'Forbidden'>
Designing Conversational Agents to Support Social Prescribing for Young People,10.14236/ewic/bcshci2025.28,https://doi.org/10.14236/ewic/bcshci2025.28,false,false,0,,0,,,CC BY,Unknown Repository,<HTTPError 403: 'Forbidden'>
Designing conversational Agents for adaptive instructional support in business simulation gaming,10.1016/j.caeai.2026.100576,https://doi.org/10.1016/j.caeai.2026.100576,false,false,0,,2708,2fe8ab5bca8ede55d77dae79b7da1e92cc91c26fbade9c8719e12d5293bbac79,,CC BY,Computers and Education: Artificial Intelligence,ValueError('response-is-not-pdf')
PhysB: a framework for designing conversational agents to support physical activity in adolescents,10.1186/s41043-026-01254-5,https://doi.org/10.1186/s41043-026-01254-5,false,false,0,,253125,a78454f6cc4c2ed219dc96d569c2c1c67286b663c8869e0d7c310e06ff35b4f9,,CC BY,"Journal of Health, Population and Nutrition",ValueError('response-is-not-pdf')
Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions,10.3758/s13428-022-01864-x,https://doi.org/10.3758/s13428-022-01864-x,false,false,0,,431713,4eaac0ede2305c15812eb5b657faedd85fef7249efde6658c5087eb9a1c29b18,,CC BY,Behavior Research Methods,ValueError('response-is-not-pdf')
Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions,10.3758/s13428-022-01864-x,http://dx.doi.org/10.3758/s13428-022-01864-x,false,false,0,,431713,8f36597bd911e076fb6663f2ad8ee26e0f61cf561391cf76f565d6aa11ac81d8,,CC BY,PubMed Central,ValueError('response-is-not-pdf')
Chatbot Design and Implementation: Towards an Operational Model for Chatbots,10.3390/info15040226,https://doi.org/10.3390/info15040226,false,false,0,,0,,,CC BY,Information,<HTTPError 403: 'Forbidden'>
Chatbot Design and Implementation: Towards an Operational Model for Chatbots,10.3390/info15040226,https://doi.org/10.20944/preprints202403.1883.v1,false,false,0,,0,,,CC BY,Unknown Repository,<HTTPError 403: 'Forbidden'>
Chatbot Design and Implementation: Towards an Operational Model for Chatbots,10.3390/info15040226,https://doaj.org/article/2b393877dfc743c8b7df5256d30bcba7,false,false,0,,0,,,,Information,<HTTPError 403: 'Forbidden'>
Chatbot Design and Implementation: Towards an Operational Model for Chatbots,10.3390/info15040226,https://dx.doi.org/10.3390/info15040226,false,false,0,,0,,,CC BY,Information,<HTTPError 403: 'Forbidden'>
