title,doi,openaire_id,candidate_url,is_open,access_label,oa_route,license,version,hosted_by,collected_from,resolved_at,error
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,doi_dedup___::e01c39f79f8aaf7ac58a8a8cbaf89e91,https://doi.org/10.1145/3491102.3517525,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:19.339252+00:00,
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,doi_dedup___::e01c39f79f8aaf7ac58a8a8cbaf89e91,https://dx.doi.org/10.48550/arxiv.2203.15767,false,,,arXiv Non-Exclusive Distribution,Article,Unknown Repository,Datacite,2026-08-31T01:27:19.339271+00:00,
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,doi_dedup___::e01c39f79f8aaf7ac58a8a8cbaf89e91,http://arxiv.org/abs/2203.15767,true,OPEN,,,Preprint,arXiv.org e-Print Archive,arXiv.org e-Print Archive,2026-08-31T01:27:19.339277+00:00,
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,doi_dedup___::e01c39f79f8aaf7ac58a8a8cbaf89e91,https://doi.org/10.48550/arXiv.2203.15767,false,,,,Preprint,DBLP,DBLP,2026-08-31T01:27:19.339283+00:00,
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,doi_dedup___::e01c39f79f8aaf7ac58a8a8cbaf89e91,https://doi.org/10.1145/3491102.3517525,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:19.339286+00:00,
Conversation Design: The Evolving Paradigm in Technical and Professional Communication,10.1145/3787586.3787589,doi_________::a7d6ee37a4c204b1432a4e3960ced70f,https://doi.org/10.1145/3787586.3787589,false,,,,Article,Communication Design Quarterly,Crossref,2026-08-31T01:27:22.402380+00:00,
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,doi_dedup___::760ed580a1978abc979e8e60747789d1,https://doi.org/10.1007/978-3-030-96293-7_44,false,CLOSED,,Springer TDM,Part of book or chapter of book,Unknown Repository,Crossref,2026-08-31T01:27:23.451412+00:00,
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,doi_dedup___::760ed580a1978abc979e8e60747789d1,https://link.springer.com/chapter/10.1007/978-3-030-96293-7_44,false,,,,Conference object,Repositorio Institucional de la Universidad de Costa Rica,Repositorio Institucional de la Universidad de Costa Rica,2026-08-31T01:27:23.451433+00:00,
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,doi_dedup___::760ed580a1978abc979e8e60747789d1,https://hdl.handle.net/10669/90282,false,,,,Conference object,Repositorio Institucional de la Universidad de Costa Rica,Repositorio Institucional de la Universidad de Costa Rica,2026-08-31T01:27:23.451439+00:00,
Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,10.1109/icaicta53211.2021.9640258,doi_________::73d0ede1523de4f0ee6b52eb1af6041d,https://doi.org/10.1109/icaicta53211.2021.9640258,false,CLOSED,,IEEE Copyright,Article,Unknown Repository,Crossref,2026-08-31T01:27:24.503504+00:00,
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,doi_dedup___::21bc07cb5228ece66417672a3ec361ba,https://doi.org/10.3389/frobt.2024.1393456,true,OPEN,gold,CC BY,Article,Frontiers in Robotics and AI,Crossref,2026-08-31T01:27:25.529739+00:00,
