title,doi,path,pages,encrypted,metadata_title,title_token_coverage,correspondence,text_sha256,error
Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,library\staging\10.1080-10447318.2022.2118244.pdf,26,false,Towards User-Centric Guidelines for Chatbot Conversational Design,1.000,true,b365b2f9c21beb80b85bdbdf420274abb5a7cecb4287c110069df6c901438020,
Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,library\staging\10.1145-3757279.3785640.pdf,10,false,Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,1.000,true,66166e48f8866d70535426654a919af2e4baedef7a16ddf7c0f6c21fdcc4b803,
Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,10.1145/3335082.3335094,library\staging\10.1145-3335082.3335094.pdf,9,false,,1.000,true,d8f4f7096ce602a91c3dca16dd0a985667abdcbd759dd31689ae59d66c7fee63,
Creating ‘a Simple Conversation’: Designing a Conversational User Interface to Improve the Experience of Accessing Support for Study,10.1145/3568166,library\staging\10.1145-3568166.pdf,30,false,,1.000,true,c91e093ce1cc4fa958e4627eb53f2b0d768b34e4c8c640963f75bc4bf2737a36,
Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,library\staging\10.1109-mprv.2019.2921176.pdf,2,false,untitled,1.000,true,1208c3b787dc5901d1da69dcb3e73182aa5b1bc6fed878746ad6b3952bd6bddc,
Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,library\staging\10.1145-3571884.3603752.pdf,7,false,,1.000,true,ee26b0c70ea79def45dab8c059afb495351957c6ff8157c7b383db1669af1af1,
CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,library\staging\10.1145-3397482.3450706.pdf,4,false,,1.000,true,e7dfec0ceda1dd23f63d760d051e68bfd452850799f43f8b823dc11ad46d16ed,
Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,10.1145/3473856.3473871,library\staging\10.1145-3473856.3473871.pdf,13,false,Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,1.000,true,b7a9a6d9b955a919068ee3b185cef99d5fa54ee64c8bb2c6c398e2f0f6ea441f,
Domain Specific Design Patterns: Designing For Conversational User Interfaces,10.48550/arxiv.1802.09055,library\staging\10.48550-arxiv.1802.09055.pdf,7,false,Microsoft Word - Fadhil et al.docx,1.000,true,bee601c31cf26478351c26c581c3077472549e683204e0f1728020890c891f2e,
AI Conversational Agent Design for Supporting Learning and Well-Being of University Students,10.35542/osf.io/w4rtf,library\staging\10.35542-osf.io-w4rtf.pdf,14,false,,1.000,true,47b385f3f8a2ee0b32ab5fb273137de78edc6e845862a302c1bad549e185628d,
Designing Conversational Agents for Student Wellbeing,10.14569/ijacsa.2024.0151006,library\staging\10.14569-ijacsa.2024.0151006.pdf,10,false,Designing Conversational Agents for Student Wellbeing,1.000,true,fb01dd6f2d78b28db266bcdbaacdde050a9be7232a063832978e4c2b9506f13c,
The feedback loop: A systematic review of how evaluation practices inform conversational agent design,10.21203/rs.3.rs-7235054/v1,library\staging\10.21203-rs.3.rs-7235054-v1.pdf,36,false,The feedback loop: A systematic review of how evaluation practices inform conversational agent design,1.000,true,0e1c20b94dec95d206c205bd1612851f35d96c9399c587009678309d28e9f4c8,
Enhancing the user experience of learning management systems in higher education: Chatbot design principles,10.4102/the.v11i0.624,library\staging\10.4102-the.v11i0.624.pdf,10,false,,1.000,true,bf249103cea039bd179a3319cdc0ae4657ae82078b30687bfe3e395dd970602c,
An Experience Report on User-Centered Chatbot Design through Design Thinking,10.5753/wbots.2025.15205,library\staging\10.5753-wbots.2025.15205.pdf,10,false,,1.000,true,9d137c2c4f6e1d9fb8b93b8bb052b67f5b1701de674d45033815d69a8782fdc7,
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,library\staging\10.2196-43135.pdf,16,false,Untitled,1.000,true,c5c475a33756e2263b365ea0d0b5cb476b1dc2a936d69ec076f132bb9391683d,
