title,doi,semantic_scholar_id,resolved,open_access_pdf_url,open_access_status,landing_url,retrieved_at,error
Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,10.1145/3491102.3517525,,false,,,,2026-08-31T01:24:04.801321+00:00,<HTTPError 429: ''>
Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,10.1145/3816046.3816223,,false,,,,2026-08-31T01:24:06.246252+00:00,<HTTPError 429: ''>
Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509.v1,,false,,,,2026-08-31T01:24:07.563927+00:00,<HTTPError 429: ''>
Conversation Design: The Evolving Paradigm in Technical and Professional Communication,10.1145/3787586.3787589,,false,,,,2026-08-31T01:24:08.910059+00:00,<HTTPError 429: ''>
Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,10.1007/978-3-030-96293-7_44,,false,,,,2026-08-31T01:24:10.210994+00:00,<HTTPError 429: ''>
Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,10.1109/icaicta53211.2021.9640258,ec5f701e9e9a4ecd36d9e5918ffa4c8ac27cfdcb,true,,,https://www.semanticscholar.org/paper/ec5f701e9e9a4ecd36d9e5918ffa4c8ac27cfdcb,2026-08-31T01:24:11.550677+00:00,
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,,false,,,,2026-08-31T01:24:12.888734+00:00,<HTTPError 429: ''>
Communicating Service Offers in a Conversational User Interface,10.1145/3441000.3441046,,false,,,,2026-08-31T01:24:14.200975+00:00,<HTTPError 429: ''>
Conversational UX Design: A Practitioner's Guide to the Natural Conversation Framework,10.1145/3304087,,false,,,,2026-08-31T01:24:15.522329+00:00,<HTTPError 429: ''>
Conversational UX Design,10.1145/3027063.3027077,,false,,,,2026-08-31T01:24:16.847382+00:00,<HTTPError 429: ''>
Conversational UX design process,10.1145/3304087.3304096,,false,,,,2026-08-31T01:24:18.178886+00:00,<HTTPError 429: ''>
Design Systems for Conversational UX,10.1145/3405755.3406150,,false,,,,2026-08-31T01:24:19.484243+00:00,<HTTPError 429: ''>
Voice-based Conversational UX Studies and Design,10.1145/3170427.3170619,,false,,,,2026-08-31T01:24:20.800118+00:00,<HTTPError 429: ''>
The IBM natural conversation framework: a new paradigm for conversational UX design,10.1080/07370024.2022.2081571,,false,,,,2026-08-31T01:24:22.141947+00:00,<HTTPError 429: ''>
"Form to Flow: Exploring Challenges and Roles of Conversational UX Designers in Real-world, Multi-channel Service Environments",10.1145/3610189,,false,,,,2026-08-31T01:24:23.445554+00:00,<HTTPError 429: ''>
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,,false,,,,2026-08-31T01:24:24.774028+00:00,<HTTPError 429: ''>
Accessible conversational user interfaces,10.1145/3371300.3383343,,false,,,,2026-08-31T01:24:26.075487+00:00,<HTTPError 429: ''>
