title,doi,local_path,pages,sha256,resolver,license,version
Towards User-Centric Guidelines for Chatbot Conversational Design,10.1080/10447318.2022.2118244,library\staging\10.1080-10447318.2022.2118244.pdf,26,6bbaf61bc89c72d84a560f86e0958f37c12b674d65ad9caff92cf995f1db83de,OpenAlex,cc-by-nc-nd,submittedVersion
Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,10.1145/3757279.3785640,library\staging\10.1145-3757279.3785640.pdf,10,070ab5284593ca708413628a759e4d0559906807577bdf5b1d4e806046ff593c,OpenAlex,,submittedVersion
Usability testing of a healthcare chatbot: Can we use conventional methods to assess conversational user interfaces?,10.1145/3335082.3335094,library\staging\10.1145-3335082.3335094.pdf,9,53ad295129fff852fd20707e7bd059bb45498b431e9eae9472c98ac0b9832331,OpenAlex,other-oa,submittedVersion
Creating ‘a Simple Conversation’: Designing a Conversational User Interface to Improve the Experience of Accessing Support for Study,10.1145/3568166,library\staging\10.1145-3568166.pdf,30,ba06dbad003f5da080c8e9d0cd685ee2593c0c29ecfa7448f1b446845f45ac8e,OpenAlex,,submittedVersion
Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,library\staging\10.1109-mprv.2019.2921176.pdf,2,204a52e84cf3ced57ad1124a513c6248ba99042af45a2487a5f1c6eaecf276be,OpenAlex,,publishedVersion
Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,library\staging\10.1145-3571884.3603752.pdf,7,9b6e4de33c2f5aa052ece55dcae2579a52a5e6dba8b90ffa2753ed29426390f0,OpenAlex,other-oa,submittedVersion
CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,library\staging\10.1145-3397482.3450706.pdf,4,e792cef3065e8937ff3b2b7a4b0cb83d3ea3606fbfc0fa4ef733662dc8cc5f91,OpenAlex,other-oa,submittedVersion
Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,10.1145/3473856.3473871,library\staging\10.1145-3473856.3473871.pdf,13,d735dbbcc7ac4693bc990d4ae86f49db4f535bf67befc3c747fc700a33637518,OpenAlex,,submittedVersion
Domain Specific Design Patterns: Designing For Conversational User Interfaces,10.48550/arxiv.1802.09055,library\staging\10.48550-arxiv.1802.09055.pdf,7,16449d31c4de3a5b979e30a3d5bbba79e0d3deaac2b2cc1749807ae2894a480d,OpenAlex,,submittedVersion
AI Conversational Agent Design for Supporting Learning and Well-Being of University Students,10.35542/osf.io/w4rtf,library\staging\10.35542-osf.io-w4rtf.pdf,14,15f2d9e0b733633d128831eac031c6c4b6603d85111163e3612941b4d0d5a5f4,OpenAlex,,acceptedVersion
Designing Conversational Agents for Student Wellbeing,10.14569/ijacsa.2024.0151006,library\staging\10.14569-ijacsa.2024.0151006.pdf,10,580976034134412b28a0da7a0469fa588b08bf044041276e9a84eff5f9449180,OpenAlex,cc-by,publishedVersion
The feedback loop: A systematic review of how evaluation practices inform conversational agent design,10.21203/rs.3.rs-7235054/v1,library\staging\10.21203-rs.3.rs-7235054-v1.pdf,36,c06902356dae9d9471d6129f719bd39a86730add2b0fe249d862a94454ff8c48,OpenAlex,cc-by,acceptedVersion
Enhancing the user experience of learning management systems in higher education: Chatbot design principles,10.4102/the.v11i0.624,library\staging\10.4102-the.v11i0.624.pdf,10,1618dd9f2d70b9efe556b9afa954a4b0bd083d480f93f612b8de910964abeefb,OpenAlex,cc-by,publishedVersion
An Experience Report on User-Centered Chatbot Design through Design Thinking,10.5753/wbots.2025.15205,library\staging\10.5753-wbots.2025.15205.pdf,10,ea9cdb054ba90c6880d9011cc8de7a6f874493e63b6afc316922189271888f17,OpenAlex,,publishedVersion
Evaluating User Experience With a Chatbot Designed as a Public Health Response to the COVID-19 Pandemic in Brazil: Mixed Methods Study,10.2196/43135,library\staging\10.2196-43135.pdf,16,537c1f2f45f0b12eb1d9328303715a8df87b63eeee930f3d1b6f79a212db8c07,OpenAlex,cc-by,publishedVersion
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,library\staging\openaire\10.1007-978-0-306-47002-8_20-b4226fbb4e.pdf,12,7ed9584d359fac51da27e5faa075f1e57418f45122aad7279be4fb5d76beb855,OpenAIRE,,
Impact of politeness and performance quality of android robots on future interaction decisions: a conversational design perspective,10.3389/frobt.2024.1393456,library\staging\europe-pmc\PMC11165153.pdf,14,4f25189a4944808b24b35d022095f49c714c8b8cf6f844a96943f662fad01792,Europe PMC,,publishedVersion
Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions,10.3758/s13428-022-01864-x,library\staging\europe-pmc\PMC9197095.pdf,23,28f438cd4e6714360908f52b80b65b5bf2c8a2931f91c93b2f0be95eb45dd330,Europe PMC,,publishedVersion
