run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,manual_centrality,manual_product_relevance,manual_documentary_evidence,manual_actionable_contribution,reviewer,review_date,manual_total,screening_decision,screening_reason,evidence_basis,author_review
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4221158799,https://doi.org/10.1145/3491102.3517525,Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,2022,Yaxin Hu; Yuxiao Qu; Adam Maus; Bilge Mutlu,conference-paper,"Conversational interfaces increasingly rely on human-like dialogue to offer a natural experience. However, relying on dialogue involving multiple exchanges for even simple tasks can overburden users, particularly older adults. In this paper, we explored the use of politeness theory in conversation design to alleviate this burden and improve user experience. To achieve this goal, we categorized the voice interaction offered by a smart display application designed for older adults into seven major speech acts: request, suggest, instruct, comment, welcome, farewell, and repair. We identified face needs for each speech act, applied politeness strategies that best address these needs, and tested the ability of these strategies to shape the perceived politeness of a voice assistant in an online study (n = 64). Based on the findings of this study, we designed direct and polite versions of the system and conducted a field study (n = 15) in which participants used each of the versions for five days at their homes. Based on five factors merged from our qualitative findings, we identified four distinctive user personas—socially oriented follower, socially oriented leader, utility oriented follower, and utility oriented leader—that can inform personalized design of smart displays.",https://doi.org/10.1145/3491102.3517525,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W4407719098,https://doi.org/10.1145/3816046.3816223,Toward Metaphor-Fluid Conversation Design for Voice User Interfaces,2026,Smit Desai; Jessie Chin; Dakuo Wang; Benjamin R. Cowan; Michael B. Twidale,conference-paper,"Metaphors play a critical role in shaping user experiences with Voice User Interfaces (VUIs), yet existing designs rely on static, human-centric metaphors that fail to adapt to diverse contexts and user needs. We introduce Metaphor-Fluid Design, a novel approach that adjusts metaphorical representations based on conversational use-contexts. We compare this to a Default VUI, which models commercial VUIs commonly designed around the assistant persona, offering uniform interaction across contexts. In Study 1 (N=130), metaphors were mapped to four key use-contexts—commands, information seeking, sociality, and error recovery—along dimensions of formality and hierarchy, revealing distinct preferences for task-specific metaphorical designs. Study 2 (N=91) evaluates a Metaphor-Fluid VUI against a Default VUI, showing that Metaphor-Fluid Design enhances perceived intention to adopt, enjoyment, and likability. However, individual differences in metaphor preferences highlight the need for personalization. These findings challenge the one-size-fits-all paradigm and demonstrate Metaphor-Fluid Design’s potential for more adaptive human-AI interactions.",https://doi.org/10.1145/3816046.3816223,,cc-by,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W3084523377,https://doi.org/10.26686/wgtn.17148509.v1,Factors Affecting Conversation Design for Digital Political Personae,2020,Reuben Cox,dissertation,"Digital political personae are common on social media, representing a potential avenue to inform and engage citizens in political conversation. While personae that function as a digital extension of politicians and commentators are clearly identifiable, large numbers of automated personae of limited sophistication also engage in political exchanges in online spaces. Despite their prevalence, little prior work has addressed conversation design approaches to maximise the effectiveness of digital political personae in their interactions with users. A review of the literature highlighted a range of approaches for effective use of digital tools in political contexts, including strategies for conveying information, sustaining engagement and employing and responding to emotive language on polarising topics. Examination of interactions with existing political personae on social media revealed that many of these approaches were limited or absent from the current conversational paradigm. Chatbot software was used to explore methods that would address the issues identified with existing digital political personae through an iterative design process. A layered interaction scenario was developed that supports branching political conversation on a central topic, with a base of secondary topics to enhance the utility of the persona. The conversation design developed incorporates lessons from the literature on use of effective digital tools for political conversation, and has the potential to engage and inform large numbers of participants, as well as gather information from them for analysis.",https://doi.org/10.26686/wgtn.17148509.v1,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/2/files/31709642.pdf,cc-by-nc-sa,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,2,1,Codex: primeira passagem governada,2026-08-30,10,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversation design""",OpenAlex,https://openalex.org/W7119660941,https://doi.org/10.1145/3787586.3787589,Conversation Design: The Evolving Paradigm in Technical and Professional Communication,2025,Nadya Shalamova; Gustav Verhulsdonck,article,"As Technical and Professional Communication (TPC) adopts User Experience (UX) methods, gaps persist in integrating UX-specific knowledge and practices into curricula. This article advocates for Conversation Design (CxD) as a crucial yet overlooked intersection of TPC and UX. CxD focuses on creating human-centered interactions for chatbots, voice assistants and other conversational interfaces, aligning well with TPC's rhetorical foundations in audience, purpose, and context. Integrating CxD into TPC curricula equips students for emerging industry demands and drives academic innovation. The article defines CxD, examines its relevance to TPC, offers instructional strategies, and presents a course-based case study as a curricular model.",https://doi.org/10.1145/3787586.3787589,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W4295210883,https://doi.org/10.1080/10447318.2022.2118244,Towards User-Centric Guidelines for Chatbot Conversational Design,2022,Geovana Ramos Sousa Silva; Edna Dias Canedo,article,"The conversational nature of chatbots poses challenges to designers since their development is different from other software and requires investigating new practices in the context of human-AI interaction and their impact on user experience. Therefore, this work aims to unveil text-based chatbot conversational practices alongside their impacts on users to build a web guide to support designers while conceiving conversations for chatbots. We have carried out a Systematic Literature Review (SLR) to identify linguistic, visual, and interactive elements used in text-based chatbot conversational design. The SLR resulted in 40 selected studies that were reviewed and coded into a set of conversational guidelines that were evaluated through a survey. Respondents strongly agreed that applying the proposed guidelines in chatbot development would produce greater user satisfaction and user engagement and that the guide is usable, flexible, clear, and understandable, making it a great ally in building text-based chatbots with an improved user experience.",http://arxiv.org/abs/2301.06474,https://arxiv.org/pdf/2301.06474,cc-by-nc-nd,green,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,2,1,Codex: primeira passagem governada,2026-08-30,10,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W4214657737,https://doi.org/10.1007/978-3-030-96293-7_44,Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,2022,Ignacio Díaz-Oreiro; Gustavo López; Luis Quesada; Luis A. Guerrero,conference-paper,,https://doi.org/10.1007/978-3-030-96293-7_44,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+metadata,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W7154026252,https://doi.org/10.1145/3772318.3791391,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,2026,Xiaojiao Chen; Jiahuan Zhou; Yunfeng Shu; Ruihan Wang; Qinghua Liu,conference-paper,"UI designers face growing cognitive load and cross-functional friction at the intersection of user needs, business goals, and engineering constraints. Existing automated tools often deliver static “problem lists,” lacking actionable repair paths and disrupting creative flow. We introduce CritiqueCrew, a Figma tool that supports designers through conversational critique. CritiqueCrew generates multi-faceted insights by implementing a multi-perspective orchestration of distinct expert roles (UX, PM, Engineer). It translates abstract critiques into concrete actions via in-context feedback and interactive remediation. Across two independent controlled studies (Total N = 48), CritiqueCrew significantly improved both design quality and subjective experience compared to a traditional static checker. Furthermore, our results confirm that the structured orchestration of expert roles—rather than a unified model—is key to fostering trust and creativity support. Our work demonstrates how AI can shift from a “problem auditor” to a “solution co-creator” by integrating multi-perspective dialogue with interactive repair, offering design implications for future creative tools.",https://doi.org/10.1145/3772318.3791391,,cc-by,gold,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,1,1,0,Codex: primeira passagem governada,2026-08-30,4,exclude-ontology,"A conversa é a modalidade de crítica de interfaces; o objeto é uma ferramenta de apoio ao design visual, não um produto conversacional.",title+abstract,sample-audit
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W4200118972,https://doi.org/10.1109/icaicta53211.2021.9640258,Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,2021,Nadya Anastasia; Harlili; Lenny Putri Yulianti,conference-paper,"System recommendation is currently on the rise: more and more e-commerce rely on this feature to give more privilege to their users. However, system recommendation still faces a lot of problems that can lead to its downfall. For instance, the cold start problem and lack of privacy for user’s data in system recommendation will make the quality of this system lesser than ever. Moreover, e-commerce also faces another significant issue which is the lack of social presence. Compared to offline shopping, online shopping in e-commerce may be seen as lacking human presence and sociability as it is more impersonal, cold, automated, and generally devoid of face-to-face interactions. Hence, all of those issues mentioned above may lead to the regression of user’s trust toward e-commerce itself. This study will focus on solving those problems using conversational design interaction in the form of a Virtual Agent. This Virtual Agent can help e-commerce gather user preferences and give clear and direct information regarding the use of user’s data as well as help the user find products, promo, or similar products that they seek in e-commerce. The final result of this solution is a high fidelity prototype designed using User-Centered Design Methodology and Natural Conversational Framework. The implementation of this solution is carried out in Shopee e-commerce by modifying their product recommendation system. This prototype was measured using the usability testing method for usability goals efficient to use and user experience goals helpful.",https://doi.org/10.1109/icaicta53211.2021.9640258,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W3130906293,,Conversational design: the use of chatbot as an electoral information dissemination tool,2020,Oluwabusayomi Oyewole,article,"A steady decline in voter turnout has been recorded in many democratic countries, with young people (i.e Gen Z and Millennials) identified as a significant portion of those who don’t vote. Research has shown that one of the reasons young people do not vote is a lack of information about the electoral process, candidates and policies. Studies have also shown that preferred information dissemination medium is aligned across age groups, with older people trusting old media such as newspapers and young people leaning towards new media such as social media. With the recent advancement in machine learning, natural language interface and popularity of conversational agents such as chatbots, a new subset of new media has emerged. This study aims to investigate if chatbots could be an efficient medium for young people to access electoral information. It does this by comparing it with a website, using the EU electoral page as a case study. Based on the content of the EU electoral webpage, a chatbot was designed, trained and deployed on Telegram. Participants were randomly divided into two experimental groups (chatbot and website) and asked to find a list of crucial information, interact with the medium and then respond to the System usability scale (SUS), and a perception questionnaire. Observed data and interview notes were also taken. Analysis of the experimental data, observed data and surveys demonstrated that chatbot as a tool is inefficient as an electoral information tool because of the limitation of chatbot when out of scope questions are asked and limitation in following conversation contexts which is crucial to conversations. However, it is rated as above average on usability and joy of use, but raises questions on trust and data protection. It is recommended that the study be performed again when there are more advances to natural language processing to see if its efficiency as an electoral information medium will improve. A longitudinal study is also recommended to see if there’s a direct impact of chatbots as a tool, on young people’s motivation to vote.",https://opus4.kobv.de/opus4-rhein-waal/frontdoor/index/index/start/0/rows/10/sortfield/score/sortorder/desc/searchtype/authorsearch/referee/Ulrich+Greveler/refereemodifier/contains_all/docId/429,,,closed,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,1,1,Codex: primeira passagem governada,2026-08-30,9,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
20260831T003810Z,1.0.0,"""conversational design""",OpenAlex,https://openalex.org/W7125112703,https://doi.org/10.1145/3757279.3785640,Reframing Conversational Design in HRI: Deliberate Design with AI Scaffolds,2026,Shiye Cao; Jiwon Moon; Yifan Xu; Anqi Liu; Chien‐Ming Huang,conference-paper,"Large language models (LLMs) enabled conversational robots to shift toward free-form interaction. However, without context-specific adaptation, generic LLM outputs can be ineffective or inappropriate. This adaptation is often attempted through prompt engineering, which is non-intuitive and tedious. Moreover, predominant design practice in HRI relies on impression-based, trial-and-error refinement without structured methods or tools, making the process inefficient and inconsistent. To address this, we present AI-Aided Conversation Engine (ACE) to support deliberate design of human-robot conversations with three key innovations: 1) an LLM-powered voice agent that scaffolds initial prompt creation to overcome the ""blank page problem,"" 2) an annotation interface that enables the collection of granular and grounded feedback on conversational transcripts, and 3) using LLMs to translate user feedback into prompt refinements. We evaluated ACE through two user studies, examining both designs' experience and end users' interactions with robots designed using ACE. Results show that ACE facilitates the creation of robot behavior prompts with greater clarity and specificity, and that the prompts generated with ACE lead to higher-quality human-robot conversational interactions.",http://arxiv.org/abs/2601.12084,https://arxiv.org/pdf/2601.12084,,green,4,7,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,4,3,2,1,Codex: primeira passagem governada,2026-08-30,10,provisional-include,"Título e resumo tratam o design, a avaliação ou as consequências de uma interface, agente ou sistema conversacional como contribuição central. A decisão será confirmada no documento.",title+abstract,required-if-central-claim
