run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W7125499669,https://doi.org/10.2196/preprints.91841,Real-World Data From a Group Parent Management Training Program Enhanced Using Artificial Intelligence: Qualitative Study (Preprint),2026,Carlos Felipe Rivera-Cepeda; Blanca S. Pineda; Daniella Vaclavik; Daniel M. Bagner; Antonio Y. Hardan; Andrea Paola Abadi; Karin Mostovoy; Eduardo L. Bunge,preprint,"BACKGROUND Parent management training (PMT) is an evidence-based intervention for children with disruptive behavior problems. However, access to care is often limited by cost, availability of clinicians, scheduling, and transportation barriers. Integrating artificial intelligence (AI) into group PMT may improve accessibility, personalization, and adherence, while preserving therapeutic quality. OBJECTIVE This study explored caregivers’ experiences with a hybrid PMT program that combined live therapist-led group sessions with asynchronous support from Pat, an AI conversational agent designed to augment the therapists’ support to caregivers. METHODS A total of 88 caregivers of children aged 3-14 years (mean 7.98, SD 2.45 years) from Argentina and Paraguay participated in eight weekly online group sessions led by human therapists and supplemented by Pat. Caregivers were asked to provide the net promoter score (NPS) and their perceived contribution of their experience in remote group sessions and with Pat. Caregiver perspectives were analyzed using thematic analysis by multiple coders with consensus and interrater reliability assessment. RESULTS The average NPS was 76.92, indicating excellent satisfaction. Regarding participants’ perceptions of the overall program, the most frequent theme was useful strategies (73/202, 36.1%), reflecting the value placed on clear, structured, and practical tools to address everyday parenting challenges. Most comments about Pat were positive (156/164, 95.1%), particularly highlighting its 24/7 accessibility and constant availability (69/164, 42.1%). Recommendations for improvement mainly focused on enhancing the user experience and incorporating additional functionalities. Regarding perceived contribution to progress, caregivers attributed, on average, 61% to Pat and 46% to the group sessions. CONCLUSIONS Combining therapist-led PMT group sessions with AI support appears feasible, acceptable, and valued by caregivers and may expand reach without sacrificing quality. Overall, caregivers valued the useful strategies and the professional and peer support and reported positive changes. Regarding Pat, the most valued aspect is the constant and immediate support. This model integrates human expertise with the accessibility and continuity provided by AI, reducing barriers, such as time, cost, and clinician availability.",https://doi.org/10.2196/preprints.91841,,cc-by,gold,3,6,sistema=1;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W2999377038,https://doi.org/10.1007/978-3-030-39540-7_15,Working Together with Conversational Agents: The Relationship of Perceived Cooperation with Service Performance Evaluations,2020,Guy Laban; Theo Araujo,conference-paper,,https://eprints.gla.ac.uk/208175/1/208175.pdf,https://eprints.gla.ac.uk/208175/1/208175.pdf,cc-by-sa,green,3,6,sistema=2;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W4210645691,https://doi.org/10.3991/ijet.v17i02.26605,Intelligent System Using Deep Learning for Answering Learner Questions in a MOOC,2022,Oussama Hamal; Nour-eddine El Faddouli,article,"Despite the great success of Massive Open Online Courses (MOOCs), the success rate of learners remains very low. Therefore, a lot of research has been done to understand and solve this abandonment problem. This work is part of the same effort which aims to improve learning in MOOCs. We offer an intelligent system capable of assisting the learner by providing answers to all his questions on the subjects covered in the MOOC. The architecture of our system is based on new advances in artificial intelligence, in particular the applications of deep learning in the field of natural language processing (NLP). The results obtained are quite interesting and demonstrate the relevance of our solution.",https://doi.org/10.3991/ijet.v17i02.26605,https://online-journals.org/index.php/i-jet/article/download/26605/10655,cc-by,gold,0,0,sistema=0;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W7204725669,https://doi.org/10.1145/3844666,From Solo Post to Shared Space: How a Public LLM Agent Reshapes Human-to-Human Conversation Structure on a Social Platform,2026,Dandan Liu; Lihu Pan; Aznul Qalid Md Sabri; G. F. Fan,article,"As large language model (LLM) agents become routine participants in public online conversation, understanding how their replies reshape human-to-human interaction structure is a central challenge for social computing and platform governance. Yet most post-deployment evaluations focus on toxicity or engagement volume, leaving thread-level conversational structure—a dimension critical to deliberative quality, social capital formation, and equality of voice—largely unmeasured. We address this gap through a large-scale structural evaluation of @CommentR , a production LLM agent serving millions of users on Weibo, China’s leading microblogging platform. Modeling each thread as a directed reply graph, we match over 216,000 real post-deployment threads on strictly pre-anchor covariates and estimate effects on human-only conversational structure using a doubly robust estimator. Because agent replies often arrive before any human-to-human interaction is observed, we introduce lifecycle-aware estimands that distinguish early-stage formation effects from mature-thread rewiring effects. Under conditional ignorability, agent replies reduce reciprocity, increase branching, and reduce geographic homophily in early-stage threads, while degree-corrected bridging remains unchanged—consistent with a hub-and-spoke shift from dialogic exchange toward one-off commenting around a focal reply. In mature threads, eligibility for the incumbent-rewiring analysis is itself reduced by the agent—sustained incumbent exchange becomes less likely—so we report the mature-thread rewiring estimates as bounded rather than point-identified and treat the formation regime as the one in which our structural evidence is secure. The magnitude of the reshaping depends on how the agent answers: more comprehensive, factual replies produce a larger focal shift. Reply-target analysis confirms that a substantial share of human comments redirect toward the agent, reducing lateral human-to-human exchange. These findings demonstrate that public AI agents can reshape not only what people say but how people talk to each other , with direct implications for platform governance, conversational agent design, and the structural monitoring of AI-mediated public discourse.",https://doi.org/10.1145/3844666,,cc-by,hybrid,3,6,sistema=1;relevancia-campo=7,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W4403342804,https://doi.org/10.1111/hiv.13720,The first AI ‐based Chatbot to promote HIV self‐management: A mixed methods usability study,2024,Yuanchao Ma; Sofiane Achiche; Gavin Tu; Serge Vicente; David Lessard; Kim Engler; Benoît Lemire; Moustafa Laymouna; Alexandra de Pokomandy; Joseph Cox; Bertrand Lebouché,article,"BACKGROUND: We developed MARVIN, an artificial intelligence (AI)-based chatbot that provides 24/7 expert-validated information on self-management-related topics for people with HIV. This study assessed (1) the feasibility of using MARVIN, (2) its usability and acceptability, and (3) four usability subconstructs (perceived ease of use, perceived usefulness, attitude towards use, and behavioural intention to use). METHODS: In a mixed-methods study conducted at the McGill University Health Centre, enrolled participants were asked to have 20 conversations within 3 weeks with MARVIN on predetermined topics and to complete a usability questionnaire. Feasibility, usability, acceptability, and usability subconstructs were examined against predetermined success thresholds. Qualitatively, randomly selected participants were invited to semi-structured focus groups/interviews to discuss their experiences with MARVIN. Barriers and facilitators were identified according to the four usability subconstructs. RESULTS: From March 2021 to April 2022, 28 participants were surveyed after a 3-week testing period, and nine were interviewed. Study retention was 70% (28/40). Mean usability exceeded the threshold (69.9/68), whereas mean acceptability was very close to target (23.8/24). Ratings of attitude towards MARVIN's use were positive (+14%), with the remaining subconstructs exceeding the target (5/7). Facilitators included MARVIN's reliable and useful real-time information support, its easy accessibility, provision of convivial conversations, confidentiality, and perception as being emotionally safe. However, MARVIN's limited comprehension and the use of Facebook as an implementation platform were identified as barriers, along with the need for more conversation topics and new features (e.g., memorization). CONCLUSIONS: The study demonstrated MARVIN's global usability. Our findings show its potential for HIV self-management and provide direction for further development.",https://doi.org/10.1111/hiv.13720,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/hiv.13720,cc-by-nc,hybrid,3,6,sistema=2;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W4396892628,https://doi.org/10.3390/designs8030043,Designing Home Automation Routines Using an LLM-Based Chatbot,2024,Mathyas Giudici; Luca Padalino; Giovanni Paolino; Ilaria Paratici; Alexandru Ionut Pascu; Franca Garzotto,article,"Without any more delay, individuals are urged to adopt more sustainable behaviors to fight climate change. New digital systems mixed with engaging and gamification mechanisms could play an important role in achieving such an objective. In particular, Conversational Agents, like Smart Home Assistants, are a promising tool that encourage sustainable behaviors within household settings. In recent years, large language models (LLMs) have shown great potential in enhancing the capabilities of such assistants, making them more effective in interacting with users. We present the design and implementation of GreenIFTTT, an application empowered by GPT4 to create and control home automation routines. The agent helps users understand which energy consumption optimization routines could be created and applied to make their home appliances more environmentally sustainable. We performed an exploratory study (Italy, December 2023) with N = 13 participants to test our application’s usability and UX. The results suggest that GreenIFTTT is a usable, engaging, easy, and supportive tool, providing insight into new perspectives and usage of LLMs to create more environmentally sustainable home automation.",https://doi.org/10.3390/designs8030043,https://www.mdpi.com/2411-9660/8/3/43/pdf?version=1715594087,cc-by,gold,3,6,sistema=4;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W3152445296,https://doi.org/10.17705/1thci.00143,Understanding the Impact that Response Failure has on How Users Perceive Anthropomorphic Conversational Service Agents: Insights from an Online Experiment,2021,Stephan Diederich; Tim-Benjamin Lembcke; Alfred Brendel; TU Dresden; Lutz M. Kolbe,article,"Conversational agents (CAs) have attracted the interest from organizations due to their potential to provide automated services and the feeling of humanlike interaction. Emerging studies on CAs have found that humanness has a positive impact on customer perception and explored approaches for their anthropomorphic design, which comprises both their appearance and behavior. While these studies provide valuable knowledge on how to design humanlike CAs, we still do not sufficiently understand this technology’s limited conversational capabilities and their potentially detrimental impact on user perception. These limitations often lead to frustrated users and discontinued CAs in practice. We address this gap by investigating the impact of response failure, which we understand a CA’s inability to provide a meaningful reply, in a service context. To do so, we draw on the computers are social actors paradigm and the theory of the uncanny valley. Via an experiment with 169 participants, we found that 1) response failure harmed the extent to which people perceived CAs as human and increased their feelings of uncanniness, 2) humanness (uncanniness) positively (negatively) influenced familiarity and service satisfaction, and 3) the response failure had a significant negative impact on user perception yet did not lead to a sharp drop as the uncanny valley theory posits. Thus, our study contributes to better explaining the impact that text-based CAs’ failure to respond has on customer perception and satisfaction in a service context in relation to the agents’ design.",https://doi.org/10.17705/1thci.00143,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1148&context=thci,,diamond,3,6,sistema=2;relevancia-campo=6,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W4307266178,https://doi.org/10.3390/ijerph192113794,"A Mobile Application-Based Relational Agent as a Health Professional for COVID-19 Patients: Design, Approach, and Implications",2022,Beenish Moalla Chaudhry; Ashraful Islam,article,"Relational Agents' (RAs) ability to maintain socio-emotional relationships with users can be an asset to COVID-19 patients. The goal of this research was to identify principles for designing an RA that can act as a health professional for a COVID-19 patient. We first identified tasks that such an RA can provide by interviewing 33 individuals, who had recovered from COVID-19. The transcribed interviews were analyzed using qualitative thematic analysis. Based on the findings, four sets of hypothetical conversations were handcrafted to illustrate how the proposed RA will execute the identified tasks. These conversations were then evaluated by 43 healthcare professionals in a qualitative study. Thematic analysis was again used to identify characteristics that would be suitable for the proposed RA. The results suggest that the RA must: model clinical protocols; incorporate evidence-based interventions; inform, educate, and remind patients; build trusting relationships, and support their socio-emotional needs. The findings have implications for designing RAs for other healthcare contexts beyond the pandemic.",https://doi.org/10.3390/ijerph192113794,https://www.mdpi.com/1660-4601/19/21/13794/pdf?version=1667291954,cc-by,gold,0,3,sistema=0;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W4381712559,https://doi.org/10.48550/arxiv.2306.11748,The Manipulation Problem: Conversational AI as a Threat to Epistemic Agency,2023,Louis Rosenberg,preprint,"The technology of Conversational AI has made significant advancements over the last eighteen months. As a consequence, conversational agents are likely to be deployed in the near future that are designed to pursue targeted influence objectives. Sometimes referred to as the ""AI Manipulation Problem,"" the emerging risk is that consumers will unwittingly engage in real-time dialog with predatory AI agents that can skillfully persuade them to buy particular products, believe particular pieces of misinformation, or fool them into revealing sensitive personal data. For many users, current systems like ChatGPT and LaMDA feel safe because they are primarily text-based, but the industry is already shifting towards real-time voice and photorealistic digital personas that look, move, and express like real people. This will enable the deployment of agenda-driven Virtual Spokespeople (VSPs) that will be highly persuasive through real-time adaptive influence. This paper explores the manipulative tactics that are likely to be deployed through conversational AI agents, the unique threats such agents pose to the epistemic agency of human users, and the emerging need for policymakers to protect against the most likely predatory practices.",http://arxiv.org/abs/2306.11748,https://arxiv.org/pdf/2306.11748,cc-by-nc-nd,green,3,6,sistema=2;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""conversational agent design""",OpenAlex,https://openalex.org/W4293161959,https://doi.org/10.2196/38740,"Designing, Developing, Evaluating, and Implementing a Smartphone-Delivered, Rule-Based Conversational Agent (DISCOVER): Development of a Conceptual Framework",2022,Dhakshenya Ardhithy Dhinagaran; Laura Martinengo; Moon‐Ho Ringo Ho; Shafiq Joty; Tobias Kowatsch; Rifat Atun; Lorainne Tudor Car,article,"BACKGROUND: Conversational agents (CAs), also known as chatbots, are computer programs that simulate human conversations by using predetermined rule-based responses or artificial intelligence algorithms. They are increasingly used in health care, particularly via smartphones. There is, at present, no conceptual framework guiding the development of smartphone-based, rule-based CAs in health care. To fill this gap, we propose structured and tailored guidance for their design, development, evaluation, and implementation. OBJECTIVE: The aim of this study was to develop a conceptual framework for the design, evaluation, and implementation of smartphone-delivered, rule-based, goal-oriented, and text-based CAs for health care. METHODS: We followed the approach by Jabareen, which was based on the grounded theory method, to develop this conceptual framework. We performed 2 literature reviews focusing on health care CAs and conceptual frameworks for the development of mobile health interventions. We identified, named, categorized, integrated, and synthesized the information retrieved from the literature reviews to develop the conceptual framework. We then applied this framework by developing a CA and testing it in a feasibility study. RESULTS: The Designing, Developing, Evaluating, and Implementing a Smartphone-Delivered, Rule-Based Conversational Agent (DISCOVER) conceptual framework includes 8 iterative steps grouped into 3 stages, as follows: design, comprising defining the goal, creating an identity, assembling the team, and selecting the delivery interface; development, including developing the content and building the conversation flow; and the evaluation and implementation of the CA. They were complemented by 2 cross-cutting considerations-user-centered design and privacy and security-that were relevant at all stages. This conceptual framework was successfully applied in the development of a CA to support lifestyle changes and prevent type 2 diabetes. CONCLUSIONS: Drawing on published evidence, the DISCOVER conceptual framework provides a step-by-step guide for developing rule-based, smartphone-delivered CAs. Further evaluation of this framework in diverse health care areas and settings and for a variety of users is needed to demonstrate its validity. Future research should aim to explore the use of CAs to deliver health care interventions, including behavior change and potential privacy and safety concerns.",https://doi.org/10.2196/38740,https://mhealth.jmir.org/2022/10/e38740/PDF,cc-by,gold,3,6,sistema=6;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
