run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W7140086652,https://doi.org/10.1177/10888683261430089,"Intelligent Systems, Vulnerable Minds: A Framework for Radicalization to Violence in the Age of AI",2026,Jonas R. Kunst; Milan Obaidi; Anton Gollwitzer; Petter Bae Brandtzæg; Yannic Hinrichs; Neha Saini; Daniel Thilo Schroeder,article,"Academic Abstract Advances in AI require a revision of the psychological and socio-technical dynamics by which individuals are radicalized to embrace violent extremism. This review synthesizes process models of radicalization with research on social and personality risk factors, AI, and psychological mechanisms to propose a four-stage framework mapping the AI architecture of radicalization: (1) Exposure , where recommender systems and virality features create initial attraction to extreme content; (2) Reinforcement , where filter bubbles and group recommendations leverage biases to strengthen extremist beliefs and create echo chambers; (3) Group Integration , where ideologically homogenous clusters, AI bot swarms and companions foster group belonging and readiness for action; cumulatively resulting in (4) Violent Extremist Action . We examine how established social, cognitive, personality, and contextual vulnerability factors heighten psychological risk in the AI-driven radicalization process, as well as the emerging role of generative AI. We conclude by outlining a stage-based framework for governance and future research. Public Abstract AI-driven algorithms designed to maximize engagement on social media, compounded by generative AI, can unintentionally set the stage for radicalization. It begins with Exposure , where algorithms push users toward extreme content because it captures attention. Next, during Reinforcement , algorithms feed users personalized content while AI swarms can create a synthetic consensus that reinforces emerging biases, normalizes extremity, and insulates users from alternative views. Third, during Group Integration , individuals are absorbed into extremist networks, reinforced by human peers, AI companions, and bot swarms that validate radical beliefs and deepen identity ties. By exploiting psychological needs for belonging and certainty, this stage becomes particularly pernicious, potentially opening the door for violence. We propose policy measures that can reduce radicalization at each stage.",https://doi.org/10.1177/10888683261430089,,cc-by,hybrid,0,3,sistema=0;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4311045477,https://doi.org/10.31265/usps.254,"Comparative report of the COVID-19 Pandemic Responses in Norway, Sweden, Germany, Switzerland and the United Kingdom",2022,Mathilde Bourrier; Michael J. Deml; Farnaz Mahdavian,report,"The purpose of this report is to compare the risk communication strategies and public health mitigation measures implemented by Germany, Norway, Sweden, Switzerland, and the United Kingdom (UK) in 2020 in response to the COVID-19 pandemic based on publicly available documents. The report compares the country responses both in relation to one another and to the recommendations and guidance of the World Health Organization where available. The comparative report is an output of Work Package 1 from the research project PAN-FIGHT (Fighting pandemics with enhanced risk communication: Messages, compliance and vulnerability during the COVID-19 outbreak), which is financially supported by the Norwegian Research Council's extraordinary programme for corona research. PAN-FIGHT adopts a comparative approach which follows a “most different systems” variation as a logic of comparison guiding the research (Przeworski & Teune, 1970). The countries in this study include two EU member States (Sweden, Germany), one which was engaged in an exit process from the EU membership (the UK), and two non-European Union states, but both members of the European Free Trade Association (EFTA): Norway and Switzerland. Furthermore, Germany and Switzerland govern by the Continental European Federal administrative model, with a relatively weak central bureaucracy and strong subnational, decentralised institutions. Norway and Sweden adhere to the Scandinavian model—a unitary but fairly decentralised system with power bestowed to the local authorities. The United Kingdom applies the Anglo-Saxon model, characterized by New Public Management (NPM) and decentralised managerial practices (Einhorn & Logue, 2003; Kuhlmann & Wollmann, 2014; Petridou et al., 2019). In total, PAN-FIGHT is comprised of 5 Work Packages (WPs), which are research-, recommendation-, and practice-oriented. The WPs seek to respond to the following research questions and accomplish the following: WP1: What are the characteristics of governmental and public health authorities’ risk communication strategies in five European countries, both in comparison to each other and in relation to the official strategies proposed by WHO? WP2: To what extent and how does the general public’s understanding, induced by national risk communication, vary across five countries, in relation to factors such as social capital, age, gender, socio-economic status and household composition? WP3: Based on data generated in WP1 and WP2, what is the significance of being male or female in terms of individual susceptibility to risk communication and subsequent vulnerability during the COVID-19 outbreak? WP4: Based on insight and knowledge generated in WPs 1 and 2, what recommendations can we offer national and local governments and health institutions on enhancing their risk communication strategies to curb pandemic outbreaks? WP5: Enhance health risk communication strategies across five European countries based upon the knowledge and recommendations generated by WPs 1-4. Pre-pandemic preparedness characteristics All five countries had pandemic plans developed prior to 2020, which generally were specific to influenza pandemics but not to coronaviruses. All plans had been updated following the H1N1 pandemic (2009-2010). During the SARS (2003) and MERS (2012) outbreaks, both of which are coronaviruses, all five countries experienced few cases, with notably smaller impacts than the H1N1 epidemic (2009-2010). The UK had conducted several exercises (Exercise Cygnet in 2016, Exercise Cygnus in 2016, and Exercise Iris in 2018) to check their preparedness plans; the reports from these exercises concluded that there were gaps in preparedness for epidemic outbreaks. Germany also simulated an influenza pandemic exercise in 2007 called LÜKEX 07, to train cross-state and cross-department crisis management (Bundesanstalt Technisches Hilfswerk, 2007). In 2017 within the context of the G20, Germany ran a health emergency simulation exercise with WHO and World Bank representatives to prepare for potential future pandemics (Federal Ministry of Health et al., 2017). Prior to COVID-19, only the UK had expert groups, notably the Scientific Advisory Group for Emergencies (SAGE), that was tasked with providing advice during emergencies. It had been used in previous emergency events (not exclusively limited to health). In contrast, none of the other countries had a similar expert advisory group in place prior to the pandemic. COVID-19 waves in 2020 All five countries experienced two waves of infection in 2020. The first wave occurred during the first half of the year and peaked after March 2020. The second wave arrived during the final quarter. Norway consistently had the lowest number of SARS-CoV-2 infections per million. Germany’s counts were neither the lowest nor the highest. Sweden, Switzerland and the UK alternated in having the highest numbers per million throughout 2020. Implementation of measures to control the spread of infection In Germany, Switzerland and the UK, health policy is the responsibility of regional states, (Länders, cantons and nations, respectively). However, there was a strong initial centralized response in all five countries to mitigate the spread of infection. Later on, country responses varied in the degree to which they were centralized or decentralized. Risk communication In all countries, a large variety of communication channels were used (press briefings, websites, social media, interviews). Digital communication channels were used extensively. Artificial intelligence was used, for example chatbots and decision support systems. Dashboards were used to provide access to and communicate data.",https://doi.org/10.31265/usps.254,https://ebooks.uis.no/index.php/USPS/catalog/download/254/218/1023,cc-by,gold,3,4,sistema=4;relevancia-campo=1,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4403466536,https://doi.org/10.17918/00010621,Working smarter,2024,Ellana Black; Kristen Betts,dissertation,"Generative AI has been expanding at an exponential rate since its widespread emergence in late 2022, yet limited research has explored its adoption or use among higher education faculty. Guided by the Diffusion of Innovations theory, this quantitative survey research study investigated higher education faculty's perceptions, adoption, and use of generative AI, particularly in the context of their course design and delivery. The study also explored how generative AI has been leveraged by faculty to create more effective and engaging learning environments that align with Universal Design for Learning (UDL) principles and learning sciences research. Additionally, it assessed whether faculty perceptions, professional backgrounds, or demographic factors predicted their adoption or use of generative AI in alignment with UDL. Between mid-March and early April 2024, 214 higher education faculty members from diverse demographic and professional backgrounds participated in the study by completing an online questionnaire. Descriptive statistics revealed that 86% of participants had adopted generative AI in their work, and perceptions about the innovation differed between adopters and nonadopters. Participants reported using the technology for a variety of general and UDL-aligned purposes. Nested logistic regression analysis identified relative advantage and professional development on generative AI as significant predictors of adoption. Chi-square tests of independence revealed that men, tenured/tenure-track faculty, and those with moderate to significant knowledge of the learning sciences or generative AI were significantly more likely to adopt the technology. Furthermore, nested multiple linear regression models found professional development on generative AI and several perceived attributes of the innovation to be significant predictors of UDL-aligned use. Based on the findings and limitations, recommendations for future research were offered.",https://doi.org/10.17918/00010621,,public-domain,gold,0,2,sistema=0;relevancia-campo=2,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W7168022660,https://doi.org/10.1080/0142159x.2026.2685794,Mapping artificial intelligence integration in objective structured clinical examinations: A scoping review,2026,Sergio Andres León-Ariza; María Camila Orobio-Pinzón; Héctor Miguel Ibáñez-Gutiérrez; Jefferson García-Serna; Diego Alejandro Vivas,article,"INTRODUCTION: Objective Structured Clinical Examinations (OSCEs) are widely used to assess clinical competence, but face challenges related to examiner workload, scoring variability, delayed feedback, and resource demands. Although AI may address these constraints and support precision medical education, the evidence remains fragmented. This scoping review maps AI applications in OSCEs. METHODS: We followed PRISMA-ScR. We searched MEDLINE, Scopus, Embase, Web of Science, ERIC, LILACS, and IEEE Xplore from inception to June 2025. Eligible studies examined AI within any phase of an OSCE in health professions education. Data charting captured AI form, technology, OSCE phase, competencies, outcomes, faculty and resource implications, and ethical/governance issues. Synthesis used a hybrid approach: deductive coding with FACETS, SAMR, and operationalized P4 properties, plus inductive coding for emergent themes. Findings were stratified by evidence maturity rather than formal quality scoring. RESULTS: Of 421 records screened, 22 studies were included. AI was used for learner preparation, station/material construction, scoring/evaluation, and operational delivery. Benefits were strongest for grading, feedback speed, and consistency in structured tasks, but weaker for relational competencies. Most applications reflected SAMR Augmentation or Modification. Personalization dominated P4 alignment. Ethical concerns centered on privacy, bias, accuracy, transparency, access, and human oversight. DISCUSSION AND CONCLUSION: AI currently augments rather than transforms OSCE assessment, performing best in structured, observable tasks and least well in relational, situated, and culturally mediated competencies. Claims that AI delivers precision medical education through OSCEs are not yet supported by evidence; alignment with P4 is partial and conditional. Realizing the potential of AI in OSCEs will require human-in-the-loop governance with concrete safeguards and equity-focused implementation in resource-limited settings.",https://doi.org/10.1080/0142159x.2026.2685794,https://www.tandfonline.com/doi/pdf/10.1080/0142159X.2026.2685794?needAccess=true,cc-by,hybrid,0,2,sistema=0;relevancia-campo=2,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4406602055,https://doi.org/10.21747/978-989-9193-12-3/lan,Language Understanding in the Human Machine Era 2024: Proceedings of 1st LUHME Workshop,2024,,book,"I identify a fallacy common to many LLM no-go theorems of the form: LLMs cannot do X, because they were designed to -or trained to -do Y.I present observations that seem to challenge stochastic parrot or database views of LLMs, as well as arguments for why, contrary to popular belief, structural similarity may be sufficient for grounding.",https://doi.org/10.21747/978-989-9193-12-3/lan,https://aclanthology.org/2024.luhme-1.pdf,cc-by,hybrid,0,1,sistema=0;relevancia-campo=1,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4307114035,https://doi.org/10.21608/jesi.2022.142113.1059,فاعلية برنامج قائم على روبوتات الدردشة التفاعلية Chatbots لتنمية بعض مهارات الفهرسة المقروءة آليا مارک 21 لدى طلاب المکتبات وتکنولوجيا التعليم بجامعة الأزهر.,2022,أسامة هندى,article,استهدف البحث التعرُّف على دور برنامج قائم على روبوتات الدردشة (Chatbots)في تنمية الجوانب المعرفيَّة لدى طلاب الفرقة الأولى بالمكتبات والمعلومات وتكنولوجيا التعليم بتربية الأزهر بالقاهرة، مستخدِمًا أداة الاختبار المعرفي وبطاقة تقييم منتج، وبعد تقنين الأدوات وحساب صدقها وثباتها، طبقت على عينة استطلاعيَّة من عشر طلاب تم اختيارهم بشكل عمدي، واستخدم الباحث المنهج شبه التجريبي Quasi-Experimental، كما استخدم التصميم التجريبي ذو المجموعتين المتكافئتين التجريبية والضابطة بطريقة القياس القبلي والبعدي. وبعد حساب درجات طلاب المجموعتين، ومعالجتها إحصائيًّا، جاءت النتائج بوجود فروق دالة إحصائيًّا عند مستوى ≥ 0.05 بين درجات أفراد المجموعتين التجريبيَّة والضابطة، لصالح المجموعة التجريبيَّة في التطبيقين القبلي والبعدي للاختبار المعرفي وبطاقة تقييم المنتج؛ مما يؤكد فاعليَّة البرنامج القائم على روبوت الدردشة للذكاء الاصطناعي في تنمية الجوانب المعرفيَّة والمهارية للطلاب، كما أن النتائج التي استخرِجت من ملف (log) في موقع روبوت الدردشة التفاعلية Chatbots بعد معالجتها أظهرت إقبال الطلاب في المجموعة التجريبية على المحادثة مع الروبوت للسؤال عن معلومات محددة. وبناءً عليه فإن معدل استخدام الطلاب للنظامِ كمساعد في عملية التعلم أسهم في تحسين نواتج التعلم، وقد اقترح الباحث بعض البحوث المستقبلية وثيقة الصلة بموضوع البحث.,https://doi.org/10.21608/jesi.2022.142113.1059,https://jesi.journals.ekb.eg/article_265244_a1a714fa504d86146215d18a18934a63.pdf,cc-by-nc,diamond,2,2,sistema=4;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W3041400982,,Ambient Assisted Living with Deep Learning,2019,Erinç Merdivan,dissertation,"Ambient assisted living aims to support the aging population. This is particularly the case with smart homes, equipped with multiple connected sensors, which enables to extend home care for the elderly. The manuscript begins by introducing the general problem of smart homes, after presenting further the three sub-themes that are the subject of the thesis, namely the activity recognition, privacy and dialogue systems.Activity recognition is the process of determining the day-to-day activities of a person or a group of people from the (raw) sensor data that the home is equipped with. An example of this is the detection of a person's fall. A smart home is typically based on the Internet of Things (IoT). Many data are produced, which may contain private or sensitive information. Some of this data must be shared externally, which may pose privacy issues. Finally, a natural way of communication for the user is to use the dialogue to interact with the smart home via dialogue manager.This thesis proposes contributions on these three sides, most of them based on deep learning.",https://theses.hal.science/tel-02927785,https://theses.hal.science/tel-02927785/document,,green,2,2,sistema=1;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4410711740,https://doi.org/10.31449/inf.v49i2.7826,5G-Optimized Deep Learning Framework for Real-Time Multilingual Speech-to-Speech Translation in Telemedicine Systems,2025,Manne Sai Sravan; Prof Venkata Rao K,article,"Telemedicine has revolutionized healthcare by enabling virtual consultations, yet it still faces challenges from linguistic barriers and the need for real-time, scalable communication. Current systems typically address isolated tasks like speech recognition or symptom classification, lacking a unified solution for multilingual doctor-patient interactions. To address this, we present a 5g-optimized Deep Learning Framework that integrates advanced speech recognition, neural machine translation, and text-to-speech synthesis into a seamless Speech-to-Speech Workflow (STSW). Specifically, our framework utilizes finetuned OpenAI Whisper for speech recognition, a Marian MT model fine-tuned on multilingual medical corpora for translation, and Tacotron 2-based neural TTS for speech synthesis. Each model is domainadapted to handle complex medical terminologies. We implement the framework over 5G-enabled edge computing infrastructure, ensuring real-time performance with ultra-low latency. Experimental results demonstrate the effectiveness of the proposed system, achieving a Word Error Rate (WER) of 0.12, a BLEU score of 0.85 for translation quality, and a Mean Opinion Score (MOS) of 4.5 for the naturalness of synthesized speech. Furthermore, our framework delivers an end-to-end latency of 2.1 seconds, outperforming existing approaches. This integration bridges communication gaps in telemedicine, facilitating accurate multilingual conversations and scalable healthcare delivery across diverse geographies.",https://doi.org/10.31449/inf.v49i2.7826,https://www.informatica.si/index.php/informatica/article/download/7826/4355,cc-by,diamond,0,3,sistema=0;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4413977623,https://doi.org/10.1101/2025.08.29.25333768,Leveraging Foundation Models in Maternal and Child Health: A Systematic Review,2025,Xinnie Mai; Yunqian Liu; Philip Chung; Jonathan D. Reiss; Shuang Zhou; Ronald J. Wong; Mingquan Lin; Ivana Marić; Marina Sirota; Nima Aghaeepour; Ruisheng Zhang; David K. Stevenson; Feng Xie,preprint,"Abstract Maternal and child health (MCH) represents a critical domain requiring accurate, timely, and data-driven decision-making to optimize outcomes from pregnancy through early childhood. Foundation models (FMs) are large pre-trained artificial intelligence models that offer potential for clinical support in diagnostics, medical adherence, and reducing disparities. We conducted a systematic review to identify recent studies leveraging FMs in MCH published between 2020 and 2025. Of 785 studies, 63 met the inclusion criteria. FMs demonstrated strong potential to generalize across clinical tasks by integrating multimodal data, including text, electronic health records, imaging, and temporal data to support disease diagnosis, streamline clinical documentation, and generate high-quality medical responses throughout maternal, neonatal, and pediatric care. Moving forward, rigorous validation and close collaboration with clinicians will be essential for the safe, equitable, and effective deployment of FMs in MCH care.",https://doi.org/10.1101/2025.08.29.25333768,https://www.medrxiv.org/content/medrxiv/early/2025/09/04/2025.08.29.25333768.full.pdf,cc-by,green,0,1,sistema=0;relevancia-campo=1,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""chatbot design"" user experience",OpenAlex,https://openalex.org/W4416036383,https://doi.org/10.18653/v1/2025.emnlp-main.862,Incorporating Diverse Perspectives in Cultural Alignment: Survey of Evaluation Benchmarks Through A Three-Dimensional Framework,2025,Meihong Wu; Si-Chi Chin; Tess Wood; Ayush Goyal; Narayanan Sadagopan,conference-paper,"Large Language Models (LLMs) increasingly serve diverse global audiences, making it critical for responsible AI deployment across cultures.While recent works have proposed various approaches to enhance cultural alignment in LLMs, a systematic analysis of their evaluation benchmarks remains needed.We propose a novel framework that conceptualizes alignment along three dimensions: Cultural Group (who to align with), Cultural Elements (what to align), and Awareness Scope (how to align: majority-focused vs. diversity-aware).Through this framework, we analyze 105 cultural alignment evaluation benchmarks, revealing significant imbalances: Region (37.9%) and Language (28.9%) dominate Cultural Group representation; Social and Political Relations (25.1%) and Speech and Language (20.9%) concentrate Cultural Elements coverage; and an overwhelming majority (97.1%) of datasets adopt majority-focused Awareness Scope approaches.In a case study examining AI safety evaluation across nine Asian countries (Section 5), we demonstrate how our framework reveals critical gaps between existing benchmarks and real-world cultural biases identified in the study, providing actionable guidance for developing more comprehensive evaluation resources tailored to specific deployment contexts.1 We extend the demographic proxies from Adilazuarda et al. (2024) to include appearance, sexual orientation, health, socioeconomic status, online communities, and time periods (e.g., dynasties) to better accommodate our dataset analysis.2 From Thompson et al. (2020), semantic domains include: food and drink, clothing and grooming, speech and language, modern world, physical world, the house, basic actions and technology, agriculture and vegetation, animals, social and political relations, emotions and values, kinship, and cognition, with names from Adilazuarda et al. (2024).We extend this list to include arts, mental perception, and current and historical events based on our dataset findings.3 These can be understood as prototypical representations of cultural knowledge (cf.Rosch and Mervis 1975; see also Shore 1996).We also recognize that some papers we classified as majority-focused do consider multiple annotator perspec-",https://doi.org/10.18653/v1/2025.emnlp-main.862,https://aclanthology.org/2025.emnlp-main.862.pdf,cc-by,gold,0,2,sistema=0;relevancia-campo=2,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
