id,title,authors,year,type,source,status,score,screening,doi,url,pdf,license
DCM-00001,Mentoring Conversations Designed to Promote Student Teacher Learning,Helen Timperley,2001,article,OpenAlex,sem-url-pdf-resolucao-pendente,0,screening-required,https://doi.org/10.1080/13598660120061309,https://doi.org/10.1080/13598660120061309,,
DCM-00002,Handbook of Conversation Design for Instructional Applications,Rocci Luppicini,2008,book,OpenAlex,recuperacao-tentada-sem-pdf-valido,4,screening-required,https://doi.org/10.4018/978-1-59904-597-9,https://doi.org/10.4018/978-1-59904-597-9,,cc-by
DCM-00003,Polite or Direct? Conversation Design of a Smart Display for Older Adults Based on Politeness Theory,Yaxin Hu; Yuxiao Qu; Adam Maus; Bilge Mutlu,2022,conference-paper,OpenAlex,pdf-integral-validado-local,4,screening-required,https://doi.org/10.1145/3491102.3517525,https://doi.org/10.1145/3491102.3517525,,
DCM-00004,Conversation Design,Margaret Urban; Stephen Mailey,2019,conference-abstract,OpenAlex,sem-url-pdf-resolucao-pendente,4,screening-required,https://doi.org/10.1145/3290607.3298821,https://doi.org/10.1145/3290607.3298821,,
DCM-00005,Introducing Conversation Design,Rocci Luppicini,2008,book-chapter,OpenAlex,sem-url-pdf-resolucao-pendente,4,screening-required,https://doi.org/10.4018/978-1-59904-597-9.ch001,https://doi.org/10.4018/978-1-59904-597-9.ch001,,
DCM-00006,Mentoring Conversations Designed to Promote Student Teacher Learning,Helen Timperley,2001,article,OpenAlex,sem-url-pdf-resolucao-pendente,0,screening-required,https://doi.org/10.1080/13598660123812,https://doi.org/10.1080/13598660123812,,
DCM-00007,Challenges in Chatbot Development,Ahmad Abdellatif; Diego Elias Costa; Khaled Badran; Rabe Abdalkareem; Emad Shihab,2020,conference-paper,OpenAlex,sem-url-pdf-resolucao-pendente,3,screening-required,https://doi.org/10.1145/3379597.3387472,https://doi.org/10.1145/3379597.3387472,,
DCM-00008,End-of-life care conversations with heart failure patients: a systematic literature review and narrative synthesis,Stephen Barclay; Natalie C. Momen; Steve Case-Upton; Isla Kuhn; E. Smith,2011,review,OpenAlex,pdf-integral-validado-local,0,screening-required,https://doi.org/10.3399/bjgp11x549018,https://doi.org/10.3399/bjgp11x549018,https://bjgp.org/content/bjgp/61/582/e49.full.pdf,
DCM-00009,CDT: A Tool for Agent Conversation Design,Mark Greaves; Heather Holmback; Jeffrey M. Bradshaw,1998,conference-paper,OpenAlex,sem-doi-busca-por-titulo-pendente,4,screening-required,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.490.2489,,
DCM-00010,Supporting an Iterative Conversation Design Process,Yoonseo Choi; Hyungyu Shin; Toni-Jan Keith Palma Monserrat; Nyoungwoo Lee; Jeongeon Park; Juho Kim,2020,conference-paper,OpenAlex,sem-url-pdf-resolucao-pendente,4,screening-required,https://doi.org/10.1145/3334480.3382951,https://doi.org/10.1145/3334480.3382951,,
DCM-00011,Co-developing a Mental Health and Wellbeing Chatbot With and for Young People,Christine Grové,2021,article,OpenAlex,pdf-integral-validado-local,3,screening-required,https://doi.org/10.3389/fpsyt.2020.606041,https://doi.org/10.3389/fpsyt.2020.606041,https://www.frontiersin.org/articles/10.3389/fpsyt.2020.606041/pdf,cc-by
